bin,lo_deg,hi_deg,probability,loss_m,representative_angle_deg
0,0,1,0.0,0.0,0.5
1,1,2,0.0,0.0,1.5000000000000002
2,2,3,0.0,0.0,2.5
3,3,4,0.0,0.0,3.5
4,4,5,0.0,0.0,4.5
5,5,6,0.0,0.0,5.5
6,6,7,0.0,0.0,6.5
7,7,8,0.0,0.0,7.499999999999999
8,8,9,0.0,0.0,8.5
9,9,10,0.0,0.0,9.5
10,10,11,0.0,0.0,10.5
11,11,12,0.0,0.0,11.5
12,12,13,0.0,0.0,12.5
13,13,14,0.0,0.0,13.5
14,14,15,0.0,0.0,14.500000000000002
15,15,16,0.0,0.0,15.5
16,16,17,0.0,0.0,16.5
17,17,18,0.0,0.0,17.5
18,18,19,0.0,0.0,18.5
19,19,20,0.0,0.0,19.5
20,20,21,0.0,0.0,20.5
21,21,22,0.0,0.0,21.5
22,22,23,0.0,0.0,22.5
23,23,24,0.0,0.0,23.5
24,24,25,0.0,0.0,24.5
25,25,26,0.0,0.0,25.5
26,26,27,0.0,0.0,26.5
27,27,28,0.0,0.0,27.5
28,28,29,0.0,0.0,28.500000000000004
29,29,30,0.0,0.0,29.500000000000004
30,30,31,0.0,0.0,30.5
31,31,32,0.0,0.0,31.5
32,32,33,0.0,0.0,32.5
33,33,34,0.0,0.0,33.5
34,34,35,0.0,0.0,34.5
35,35,36,0.0,0.0,35.5
36,36,37,0.0,0.0,36.5
37,37,38,0.0,0.0,37.5
38,38,39,0.0,0.0,38.5
39,39,40,0.0,0.0,39.5
40,40,41,0.0,0.0,40.5
41,41,42,0.0,0.0,41.5
42,42,43,0.0,0.0,42.5
43,43,44,0.0,0.0,43.5
44,44,45,0.0,0.0,44.5
45,45,46,0.0,0.0,45.5
46,46,47,0.0,0.0,46.5
47,47,48,0.0,0.0,47.5
48,48,49,0.0,0.0,48.5
49,49,50,0.0,0.0,49.5
50,50,51,0.0,0.0,50.5
51,51,52,0.0,0.0,51.5
52,52,53,0.0,0.0,52.50000000000001
53,53,54,0.0,0.0,53.5
54,54,55,0.0,0.0,54.5
55,55,56,0.0,0.0,55.5
56,56,57,0.0,0.0,56.5
57,57,58,0.0,0.0,57.5
58,58,59,0.0,0.0,58.5
59,59,60,0.0,0.0,59.5
60,60,61,0.0,0.0,60.5
61,61,62,0.0,0.0,61.50000000000001
62,62,63,0.0,0.0,62.50000000000001
63,63,64,0.0,0.0,63.50000000000001
64,64,65,0.0,0.0,64.5
65,65,66,0.0,0.0,65.5
66,66,67,0.0,0.0,66.5
67,67,68,0.0,0.0,67.5
68,68,69,0.0,0.0,68.5
69,69,70,0.0,0.0,69.5
70,70,71,0.0,0.0,70.5
71,71,72,0.0,0.0,71.5
72,72,73,0.0,0.0,72.5
73,73,74,0.0,0.0,73.5
74,74,75,0.0,0.0,74.5
75,75,76,0.0,0.0,75.5
76,76,77,0.0,0.0,76.5
77,77,78,0.0,0.0,77.5
78,78,79,0.0,0.0,78.5
79,79,80,0.0,0.0,79.5
80,80,81,0.0,0.0,80.5
81,81,82,0.0,0.0,81.5
82,82,83,0.0,0.0,82.5
83,83,84,0.0,0.0,83.5
84,84,85,0.0,0.0,84.5
85,85,86,0.0,0.0,85.5
86,86,87,0.0,0.0,86.5
87,87,88,0.0,0.0,87.5
88,88,89,0.0,0.0,88.5
89,89,90,0.0,0.0,89.5
90,90,91,0.0,0.0,90.5
91,91,92,0.0,0.0,91.5
92,92,93,0.0,0.0,92.5
