x,y,J,p_near,p_direction,p_no_signal,normalization_error,level,spacing_m,effective_angle_fallbacks,direction_mass_correction
900.0,450.0,45.585104774269304,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,600.0,45.88688279950624,0.0,1.0,0.0,0.0,1,300.0,1,0.0
900.0,-600.0,45.95364567444781,0.0,1.0,0.0,0.0,1,300.0,1,0.0
750.0,-600.0,46.029226322760955,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,-450.0,46.08276334880028,0.0,1.0,0.0,0.0,2,150.0,1,0.0
750.0,-450.0,46.28266963300216,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,2,150.0,0,0.0
750.0,450.0,46.4305825977413,0.0,1.0000000000000002,0.0,2.220446049250313e-16,2,150.0,0,0.0
750.0,600.0,46.53960451155956,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,-750.0,47.46554347547712,0.0,1.0000000000000002,0.0,2.220446049250313e-16,2,150.0,1,0.0
750.0,-750.0,47.53563548569615,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,750.0,47.68915351458608,0.0,1.0,0.0,0.0,2,150.0,1,0.0
