x,y,J,p_near,p_direction,p_no_signal,normalization_error,level,spacing_m,effective_angle_fallbacks,direction_mass_correction
900.0,600.0,25.29131806531494,0.0,0.9995481995400399,0.000451800459958577,1.4432899320127035e-15,1,300.0,0,0
900.0,-600.0,25.41581702352334,0.0,0.999558849229299,0.00044115077069917653,1.7763568394002505e-15,1,300.0,0,0
900.0,450.0,25.4330077253382,0.0,0.9999999999841829,1.5814721309768828e-11,2.4424906541753444e-15,2,150.0,0,0
900.0,-450.0,25.65603695542605,0.0,0.9999999999848289,1.5168509142443577e-11,2.55351295663786e-15,2,150.0,0,0
900.0,-750.0,26.037188059334223,0.0,0.9960959181640586,0.0039040818359402218,1.1102230246251565e-15,2,150.0,0,0
750.0,-600.0,26.239640032666905,0.0,0.9999999999999993,0.0,6.661338147750939e-16,2,150.0,0,0
900.0,750.0,26.255280125707046,0.0,0.9958153317705156,0.004184668229483552,7.771561172376096e-16,2,150.0,0,0
750.0,600.0,26.450736471302555,0.0,0.9999999999999996,0.0,4.440892098500626e-16,2,150.0,0,0
750.0,-750.0,26.60589834847436,0.0,0.9997209096836146,0.00027909031638539126,0.0,2,150.0,0,0
1050.0,600.0,26.672040766745152,0.0,0.9943802633378853,0.0056197366621114015,3.3306690738754696e-15,2,150.0,0,0
1050.0,450.0,26.674996477827314,0.0,0.9983897719048669,0.0016102280951290732,3.9968028886505635e-15,2,150.0,0,0
750.0,450.0,26.991879115799136,0.0,0.9999999999999989,0.0,1.1102230246251565e-15,2,150.0,0,0
750.0,-450.0,27.02137058934291,0.0,0.9999999999999989,0.0,1.1102230246251565e-15,2,150.0,0,0
1050.0,-600.0,27.09862855940568,0.0,0.9946338342249389,0.005366165775057603,3.552713678800501e-15,2,150.0,0,0
750.0,750.0,27.181658358079893,0.0,0.9997074063713979,0.0002925936286023633,2.220446049250313e-16,2,150.0,0,0
1050.0,-450.0,27.411912627117726,0.0,0.99844190982791,0.0015580901720856515,4.3298697960381105e-15,2,150.0,0,0
900.0,300.0,27.674026132341695,0.0,0.9999999999999968,0.0,3.219646771412954e-15,1,300.0,0,0
750.0,-900.0,28.618337857549882,0.0,0.9938495476153776,0.006150452384622881,4.440892098500626e-16,2,150.0,0,0
900.0,-300.0,28.720024076760804,0.0,0.9999999999999968,0.0,3.219646771412954e-15,1,300.0,0,0
600.0,-750.0,28.95100628022034,0.0,1.0000000000000009,0.0,8.881784197001252e-16,2,150.0,0,0
750.0,900.0,29.173824772463828,0.0,0.9930571114912143,0.006942888508786234,6.661338147750939e-16,2,150.0,0,0
1050.0,-750.0,29.196546959307852,0.0,0.9829867305913252,0.017013269408672163,2.55351295663786e-15,2,150.0,0,0
600.0,-600.0,29.21367224053752,0.0,1.0000000000000004,0.0,4.440892098500626e-16,0,600,0,0
1050.0,750.0,29.414315878737405,0.0,0.9817735383520099,0.018226461647987607,2.55351295663786e-15,2,150.0,0,0
1050.0,300.0,29.61532244622843,0.0,0.9995115196344483,0.0004884803655465229,5.218048215738236e-15,2,150.0,0,0
600.0,750.0,29.642780650584488,0.0,1.0000000000000009,0.0,8.881784197001252e-16,2,150.0,0,0
600.0,600.0,29.765408160386514,0.0,1.0000000000000007,0.0,6.661338147750939e-16,0,600,0,0
600.0,-900.0,29.824113680058403,0.0,0.9991145711833131,0.0008854288166879281,1.1102230246251565e-15,1,300.0,0,0
750.0,300.0,30.224833354111663,0.0,0.9999999999999982,0.0,1.7763568394002505e-15,2,150.0,0,0
900.0,-900.0,30.517628986675533,0.0,0.9792471369558269,0.02075286304417284,3.3306690738754696e-16,1,300.0,0,0
750.0,-300.0,31.000632949912283,0.0,0.9999999999999982,0.0,1.7763568394002505e-15,2,150.0,0,0
600.0,-450.0,31.098020795429306,0.0,1.0,0.0,0.0,2,150.0,0,0
600.0,900.0,31.210626419522224,0.0,0.9987554226490674,0.0012445773509335977,8.881784197001252e-16,1,300.0,0,0
600.0,450.0,31.225002928389948,0.0,1.0,0.0,0.0,2,150.0,0,0
1050.0,-300.0,31.485360416144598,0.0,0.9995168249197367,0.00048317508025795,5.329070518200751e-15,2,150.0,0,0
1200.0,450.0,31.615086059777564,0.0,0.9886742981484351,0.011325701851558697,6.217248937900877e-15,2,150.0,0,0
900.0,900.0,31.675285356092264,0.0,0.9767266667724441,0.023273333227555572,3.3306690738754696e-16,1,300.0,0,0
1200.0,600.0,32.34202905944268,0.0,0.976988610449559,0.023011389550435975,4.9960036108132044e-15,0,600,0,0
1200.0,-600.0,32.929000337690624,0.0,0.9780346642511192,0.021965335748875565,5.218048215738236e-15,0,600,0,0
1200.0,-450.0,33.104123469603124,0.0,0.9890427208685901,0.010957279131403413,6.439293542825908e-15,2,150.0,0,0
1200.0,300.0,35.856024382741055,0.0,0.9938120580002344,0.0061879419997582395,7.327471962526033e-15,1,300.0,0,0
600.0,300.0,36.587632269308,0.0,0.9999999999999997,0.0,3.3306690738754696e-16,1,300.0,0,0
600.0,-300.0,37.34874633117654,0.0,0.9999999999999997,0.0,3.3306690738754696e-16,1,300.0,0,0
900.0,150.0,37.82400410314479,0.0,0.999999999999996,0.0,3.9968028886505635e-15,2,150.0,0,0
1200.0,-750.0,38.4167310923161,0.0,0.9538199801731226,0.046180019826873156,4.218847493575595e-15,2,150.0,0,0
1200.0,-300.0,39.03381530906705,0.0,0.9939382827519185,0.006061717248073733,7.771561172376096e-15,1,300.0,0,0
1200.0,750.0,39.182724638819636,0.0,0.9506564833681022,0.04934351663189406,3.774758283725532e-15,2,150.0,0,0
1050.0,-900.0,39.289050094344994,0.0,0.9497761203629759,0.05022387963702278,1.3322676295501878e-15,2,150.0,0,0
300.0,-600.0,40.68813997598795,0.0,1.0000000000000013,0.0,1.3322676295501878e-15,1,300.0,0,0
1050.0,150.0,41.212840020970695,0.0,0.9998562195085013,0.00014378049149245848,6.217248937900877e-15,2,150.0,0,0
300.0,600.0,41.48286627632389,0.0,1.0000000000000013,0.0,1.3322676295501878e-15,1,300.0,0,0
1050.0,900.0,41.78026157121486,0.0,0.9440347001221587,0.05596529987784014,1.1102230246251565e-15,2,150.0,0,0
750.0,150.0,42.94287732990991,0.0,0.9999999999999978,0.0,2.220446049250313e-15,2,150.0,0,0
900.0,-150.0,43.757022730646916,0.0,0.9999999999999958,0.0,4.218847493575595e-15,2,150.0,0,0
750.0,-150.0,48.145388098662686,0.0,0.9999999999999973,0.0,2.6645352591003757e-15,2,150.0,0,0
1050.0,-150.0,49.17594572546066,0.0,0.9998588700378417,0.00014112996215175653,6.5503158452884236e-15,2,150.0,0,0
1200.0,150.0,52.82519307695087,0.0,0.9959249972472775,0.004075002752714061,8.43769498715119e-15,2,150.0,0,0
600.0,150.0,55.41488476008598,0.0,0.9999999999999989,0.0,1.1102230246251565e-15,2,150.0,0,0
1200.0,-900.0,58.613614116771956,0.0,0.8993671505704062,0.10063284942959122,2.6645352591003757e-15,1,300.0,0,0
300.0,300.0,59.994105034147736,0.0,1.000000000000001,0.0,1.1102230246251565e-15,1,300.0,0,0
300.0,-300.0,60.629962356034184,0.0,1.000000000000001,0.0,1.1102230246251565e-15,1,300.0,0,0
600.0,-150.0,60.92637100085126,0.0,0.9999999999999987,0.0,1.3322676295501878e-15,2,150.0,0,0
300.0,-900.0,63.24088393019399,0.0,0.8962793518708325,0.10372064812916865,1.1102230246251565e-15,1,300.0,0,0
1200.0,900.0,64.43281946168925,0.0,0.8884971598768636,0.11150284012313416,2.220446049250313e-15,1,300.0,0,0
1200.0,-150.0,66.42476077038143,0.0,0.9959627999312122,0.004037200068779032,8.770761894538737e-15,2,150.0,0,0
1500.0,300.0,68.27706942288505,0.0,0.9331702161128652,0.06682978388712482,9.992007221626409e-15,1,300.0,0,0
1500.0,-600.0,71.63776652278176,0.0,0.880957175270958,0.1190428247290335,8.548717289613705e-15,1,300.0,0,0
1500.0,600.0,72.31310377289677,0.0,0.8756463292090428,0.1243536707909489,8.215650382226158e-15,1,300.0,0,0
1500.0,-300.0,76.31812434665257,0.0,0.9344505735563324,0.06554942644365729,1.0325074129013956e-14,1,300.0,0,0
300.0,900.0,87.68885302471253,0.0,0.837806407360223,0.16219359263977806,1.1102230246251565e-15,1,300.0,0,0
0.0,-300.0,97.14721854658026,0.0,0.9512238725809379,0.04877612741906318,1.1102230246251565e-15,1,300.0,0,0
0.0,-600.0,99.41365825412696,0.0,0.7872773897285786,0.21272261027142247,1.1102230246251565e-15,0,600,0,0
0.0,300.0,99.79010025784554,0.0,0.9351822000237058,0.06481779997629536,1.1102230246251565e-15,1,300.0,0,0
0.0,600.0,108.274582665917,0.0,0.7583491089733874,0.24165089102661358,8.881784197001252e-16,0,600,0,0
1500.0,-900.0,150.86886900377453,0.0,0.7191433184094449,0.28085668159055016,4.884981308350689e-15,1,300.0,0,0
1500.0,900.0,167.27732046596873,0.0,0.6953377873148185,0.30466221268517707,4.440892098500626e-15,1,300.0,0,0
900.0,-1200.0,214.37591189311973,0.0,0.6522440297542123,0.3477559702457884,6.661338147750939e-16,1,300.0,0,0
0.0,-900.0,215.29693502912596,0.0,0.5057504878676453,0.49424951213235546,8.881784197001252e-16,1,300.0,0,0
900.0,0.0,226.71020961729067,0.0013877479804174947,0.9986122520195768,0.0,5.662137425588298e-15,1,300.0,0,0
0.0,900.0,234.50221073782478,0.0,0.4719136305321314,0.5280863694678692,6.661338147750939e-16,1,300.0,0,0
750.0,0.0,243.3974536533455,0.0013877479804174806,0.9986122520195783,0.0,4.218847493575595e-15,2,150.0,0,0
900.0,1200.0,253.82251546823335,0.0,0.5958453576302607,0.4041546423697398,4.440892098500626e-16,1,300.0,0,0
1050.0,0.0,254.0290560244001,0.0012482785395598107,0.9987175671789753,3.4154281458171906e-05,6.661338147750939e-15,2,150.0,0,0
1200.0,-1200.0,254.48844141853783,0.0,0.556465981088391,0.4435340189116092,2.220446049250313e-16,0,600,0,0
1200.0,1200.0,287.57575126317,0.0,0.5083579250940007,0.4916420749059995,2.220446049250313e-16,0,600,0,0
600.0,-1200.0,294.4395540137291,0.0,0.5819370077404764,0.41806299225952437,8.881784197001252e-16,0,600,0,0
600.0,0.0,296.2991001678359,0.0017346849755219276,0.998265315024475,0.0,2.9976021664879227e-15,0,600,0,0
1200.0,0.0,323.14574196424593,0.0008310222586430247,0.9956931693718263,0.003475808369523304,7.438494264988549e-15,0,600,0,0
600.0,1200.0,365.4208499217943,0.0,0.49698428422186236,0.5030157157781383,6.661338147750939e-16,0,600,0,0
1800.0,0.0,403.2628319166727,0.0,0.7956617171831665,0.20433828281682548,7.993605777301127e-15,0,600,0,0
-600.0,0.0,419.0021626561114,0.0,0.2800479548258027,0.7199520451741966,6.661338147750939e-16,0,600,0,0
1500.0,0.0,420.9224698307206,4.072814753855855e-06,0.9472388304493042,0.052757096735933345,8.548717289613705e-15,1,300.0,0,0
-600.0,-600.0,422.8291220910322,0.0,0.1742818251161448,0.8257181748838553,2.220446049250313e-16,0,600,0,0
-600.0,600.0,425.74936847631506,0.0,0.16818183096718572,0.8318181690328144,0.0,0,600,0,0
300.0,-1200.0,460.78325494539615,0.0,0.33808189892910434,0.6619181010708961,4.440892098500626e-16,1,300.0,0,0
300.0,0.0,479.6860604263077,0.0017346849755219252,0.9982653150244796,0.0,1.5543122344752192e-15,1,300.0,0,0
300.0,1200.0,488.7780797989273,0.0,0.2929821363876777,0.7070178636123227,4.440892098500626e-16,1,300.0,0,0
0.0,-1200.0,569.6196898468866,0.0,0.15755266056747252,0.8424473394325278,4.440892098500626e-16,0,600,0,0
0.0,1200.0,581.442116573794,0.0,0.13891623497787836,0.8610837650221217,0.0,0,600,0,0
-1200.0,0.0,657.7079511135757,0.0,0.011475019181467028,0.988524980818533,0.0,0,600,0,0
-600.0,-1200.0,659.5255928486368,0.0,0.006820464959006909,0.9931795350409931,0.0,0,600,0,0
-600.0,1200.0,659.9385073943903,0.0,0.006168324853347373,0.9938316751466527,0.0,0,600,0,0
-1200.0,-600.0,662.4872673105633,0.0,0.002178219197598807,0.9978217808024012,0.0,0,600,0,0
-1200.0,600.0,662.5314768465116,0.0,0.002117350483134872,0.9978826495168651,0.0,0,600,0,0
-1800.0,0.0,663.8227369664015,0.0,0.0,1.0,0.0,0,600,0,0
-1200.0,-1200.0,663.8227369664015,0.0,0.0,1.0,0.0,0,600,0,0
-1200.0,1200.0,663.8227369664015,0.0,0.0,1.0,0.0,0,600,0,0
0.0,-1800.0,663.8227369664015,0.0,0.0,1.0,0.0,0,600,0,0
0.0,0.0,663.8227369664015,0.0,1.0,0.0,0.0,0,600,0,0
0.0,1800.0,663.8227369664015,0.0,0.0,1.0,0.0,0,600,0,0
