x,y,J,p_near,p_direction,p_no_signal,normalization_error,level,spacing_m,effective_angle_fallbacks,direction_mass_correction
900.0,450.0,45.585104774269304,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,600.0,45.88688279950624,0.0,1.0,0.0,0.0,1,300.0,1,0.0
900.0,-600.0,45.95364567444781,0.0,1.0,0.0,0.0,1,300.0,1,0.0
750.0,-600.0,46.029226322760955,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,-450.0,46.08276334880028,0.0,1.0,0.0,0.0,2,150.0,1,0.0
750.0,-450.0,46.28266963300216,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,2,150.0,0,0.0
750.0,450.0,46.4305825977413,0.0,1.0000000000000002,0.0,2.220446049250313e-16,2,150.0,0,0.0
750.0,600.0,46.53960451155956,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,-750.0,47.46554347547712,0.0,1.0000000000000002,0.0,2.220446049250313e-16,2,150.0,1,0.0
750.0,-750.0,47.53563548569615,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,750.0,47.68915351458608,0.0,1.0,0.0,0.0,2,150.0,1,0.0
750.0,750.0,48.32947552065181,0.0,1.0,0.0,0.0,2,150.0,0,0.0
900.0,300.0,48.62825406727416,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,1,300.0,1,0.0
1050.0,600.0,49.52107853453787,0.0,0.9999346459617174,6.535403828254663e-05,0.0,2,150.0,0,-6.534928858825673e-05
750.0,300.0,49.95313237510299,0.0,1.0,0.0,0.0,2,150.0,1,0.0
750.0,-900.0,50.05823005898324,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,2,150.0,0,0.0
900.0,-900.0,50.19806610126759,0.0,0.9924633366016842,0.007536663398315993,2.220446049250313e-16,1,300.0,1,-0.0009211793131885804
600.0,-600.0,50.302139205890086,0.0,1.0,0.0,0.0,0,600,0,0.0
1050.0,-600.0,50.41908828501125,0.0,0.999937932534676,6.206746532390143e-05,1.1102230246251565e-16,2,150.0,0,-6.206271562958499e-05
900.0,-300.0,50.43421484818934,0.0,1.0000000000000002,0.0,2.220446049250313e-16,1,300.0,1,0.0
1050.0,450.0,50.51453303562973,0.0,1.0,0.0,0.0,2,150.0,1,0.0
900.0,900.0,50.62279783304388,0.0,0.9918398613288657,0.008160138671134238,1.1102230246251565e-16,1,300.0,2,-0.0015446545860068328
1050.0,750.0,50.847439013650316,0.0,0.9908446235601525,0.009155376439847708,2.220446049250313e-16,2,150.0,1,-0.0016718826001783649
750.0,900.0,50.944146825012595,0.0,1.0,0.0,0.0,2,150.0,0,0.0
600.0,-750.0,51.00094074946828,0.0,1.0,0.0,0.0,2,150.0,2,0.0
