method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
b2,n10_uniform_disk_2,uniform_disk,10,10,3345.6717280299385,334.56717280299387,12548.35864014969,132,0,30,4,0.03074410000408534,0,0,0,0,
b2,n10_outer_ring_3,outer_ring,10,10,4049.9130565085184,404.9913056508518,15584.565282542597,149,0,37,9,0.030629500004579313,0,0,0,0,
b2,n10_two_clusters_0,two_clusters,10,10,2717.5401480275564,271.75401480275565,9522.700740137783,128,0,31,4,0.028294600007939152,0,0,0,0,
b2,n10_narrow_sector_1,narrow_sector,10,10,2875.8887674318867,287.5888767431887,10209.443837159431,131,0,25,3,0.03453659999649972,0,0,0,0,
b2,n10_coverage_seams_2,coverage_seams,10,10,3895.1500083443193,389.51500083443193,14850.7500417216,147,0,32,10,0.030349499997100793,0,0,0,0,
b2,n11_uniform_disk_3,uniform_disk,11,11,3352.765214609146,304.79683769174056,12558.826073045724,132,0,31,4,0.03419279999798164,0,0,0,0,
b2,n11_outer_ring_0,outer_ring,11,11,4374.500246584534,397.68184059859396,16947.50123292267,157,0,40,5,0.03347399999620393,0,0,0,0,
b2,n11_two_clusters_1,two_clusters,11,11,2500.2012584639874,227.29102349672613,8696.006292319937,118,0,28,4,0.04140719999850262,0,0,0,0,
b2,n11_narrow_sector_2,narrow_sector,11,11,2674.858226318176,243.16892966528874,9819.29113159088,110,0,24,2,0.03816759999608621,0,0,0,0,
b2,n11_coverage_seams_3,coverage_seams,11,11,4462.759038244684,405.7053671131531,18083.795191223428,134,0,40,12,0.03705020000052173,0,0,0,0,
b2,n12_uniform_disk_0,uniform_disk,12,12,3623.8776103229725,301.9898008602477,14034.388051614867,127,0,29,4,0.040870700002415106,0,0,0,0,
b2,n12_outer_ring_1,outer_ring,12,12,4615.28171776936,384.6068098141133,18456.4085888468,146,0,41,6,0.037900399998761714,0,0,0,0,
b2,n12_two_clusters_2,two_clusters,12,12,2708.7808828831003,225.73174024025835,9243.904414415503,134,0,32,4,0.03974369999195915,0,0,0,0,
b2,n12_narrow_sector_3,narrow_sector,12,12,2600.575910335626,216.7146591946355,9692.87955167813,101,0,33,2,0.036929200010490604,0,0,0,0,
b2,n12_coverage_seams_0,coverage_seams,12,12,4720.934637303148,393.4112197752623,19044.673186515727,144,0,42,16,0.03644989999884274,0,0,0,0,
b2,n13_uniform_disk_1,uniform_disk,13,13,3215.612757476017,247.35482749815517,12128.06378738009,122,0,37,5,0.044352700002491474,0,0,0,0,
b2,n13_outer_ring_2,outer_ring,13,13,4683.157947163539,360.2429190125799,18695.78973581769,149,0,46,8,0.03898769999796059,0,0,0,0,
b2,n13_two_clusters_3,two_clusters,13,13,2548.3421625453407,196.02632019579545,8471.710812726706,132,0,33,3,0.04993030001060106,0,0,0,0,
b2,n13_narrow_sector_0,narrow_sector,13,13,2992.7224124955746,230.20941634581342,9943.612062477878,157,0,28,2,0.040836700005456805,0,0,0,0,
b2,n13_coverage_seams_1,coverage_seams,13,13,4580.6419443051445,352.3570726388573,18223.20972152572,147,0,43,15,0.04347560000314843,0,0,0,0,
b2,n14_uniform_disk_2,uniform_disk,14,14,3934.734810316224,281.05248645115887,15893.67405158111,116,0,41,5,0.04000599999562837,0,0,0,0,
b2,n14_outer_ring_3,outer_ring,14,14,4642.438638063146,331.6027598616533,18667.193190315724,142,0,47,6,0.04326599999330938,0,0,0,0,
b2,n14_two_clusters_0,two_clusters,14,14,3252.5415000140947,232.32439285814962,11757.707500070472,140,0,43,9,0.039228399997227825,0,0,0,0,
b2,n14_narrow_sector_1,narrow_sector,14,14,2437.5970540961575,174.11407529258267,9117.985270480789,91,0,26,2,0.04474599999957718,0,0,0,0,
b2,n14_coverage_seams_2,coverage_seams,14,14,4969.874608197283,354.99104344266306,20029.373040986407,151,0,45,11,0.042879100001300685,0,0,0,0,
b2,n15_uniform_disk_3,uniform_disk,15,15,4161.520795870757,277.4347197247171,16537.60397935378,131,0,40,7,0.047126199991907924,0,0,0,0,
b2,n15_outer_ring_0,outer_ring,15,15,5027.074068697753,335.13827124651687,20340.370343488772,150,0,51,6,0.045161399990320206,0,0,0,0,
b2,n15_two_clusters_1,two_clusters,15,15,2646.9693437679193,176.46462291786128,9659.846718839593,107,0,36,4,0.05069360000197776,0,0,0,0,
b2,n15_narrow_sector_2,narrow_sector,15,15,3045.6979634394397,203.04653089596266,11818.489817197202,102,0,33,3,0.0482763000036357,0,0,0,0,
b2,n15_coverage_seams_3,coverage_seams,15,15,5143.0595983602925,342.87063989068616,21235.29799180146,139,0,49,18,0.044929099996807054,0,0,0,0,
b2,n16_uniform_disk_0,uniform_disk,16,16,3960.5302400842884,247.53314000526802,15527.651200421442,131,0,44,8,0.0480354999890551,0,0,0,0,
b2,n16_outer_ring_1,outer_ring,16,16,4748.021260945669,296.75132880910434,19175.106304728346,141,0,51,7,0.04974870001024101,0,0,0,0,
b2,n16_two_clusters_2,two_clusters,16,16,2784.662518341403,174.0414073963377,9638.312591707008,130,0,38,4,0.057418299998971634,0,0,0,0,
b2,n16_narrow_sector_3,narrow_sector,16,16,3107.1404625570644,194.19627890981653,12160.702312785324,100,0,43,3,0.06036750000203028,0,0,0,0,
b2,n16_coverage_seams_0,coverage_seams,16,16,5483.298569332671,342.70616058329193,22806.492846663357,143,0,53,16,0.05636800000502262,0,0,0,0,
q2,n10_uniform_disk_2,uniform_disk,10,10,2961.7912213566146,296.1791221356615,10728.956106783073,128,0,20,4,0.416320899996208,0,0,0,0,
q2,n10_outer_ring_3,outer_ring,10,10,3100.970323753237,310.0970323753237,10754.851618766183,150,1,23,4,0.3383606999996118,0,0,0,0,
q2,n10_two_clusters_0,two_clusters,10,10,2339.0684166449714,233.90684166449714,7570.342083224856,129,1,21,2,0.32588019999093376,0,0,0,0,
q2,n10_narrow_sector_1,narrow_sector,10,10,2403.3694532679865,240.33694532679866,8371.847266339933,113,1,20,1,0.39358920000086073,0,0,0,0,
q2,n10_coverage_seams_2,coverage_seams,10,10,3232.8523632707793,323.28523632707794,11359.261816353901,149,9,35,6,0.6212375000031898,0,0,0,0,
q2,n11_uniform_disk_3,uniform_disk,11,11,2931.686980104602,266.51699819132745,10548.434900523009,127,3,25,5,0.5849550999992061,0,0,0,0,
q2,n11_outer_ring_0,outer_ring,11,11,4041.1514910195447,367.37740827450403,15615.757455097732,144,2,33,5,0.42362809999031015,0,0,0,0,
q2,n11_two_clusters_1,two_clusters,11,11,2485.9667439526715,225.99697672297015,8364.833719763355,126,2,22,3,0.39643909998994786,0,0,0,0,
