method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
b2,n10_uniform_disk_0,uniform_disk,10,10,3154.9489735930497,315.49489735930496,11149.744867965246,147,0,31,7,0.0323530000023311,0,0,0,0,
b2,n10_outer_ring_3,outer_ring,10,10,3950.3451818521153,395.03451818521154,14931.725909260575,154,0,34,5,0.03278860000136774,0,0,0,0,
b2,n10_narrow_sector_2,narrow_sector,10,10,2775.996571034349,277.5996571034349,10299.982855171746,112,0,32,2,0.03394269999989774,0,0,0,0,
b2,n11_uniform_disk_1,uniform_disk,11,11,2996.761510042289,272.432864549299,10798.807550211448,131,0,30,5,0.04164540000783745,0,0,0,0,
b2,n11_two_clusters_0,two_clusters,11,11,2710.4911681650674,246.40828801500612,9527.455840825336,126,0,32,4,0.03395739999541547,0,0,0,0,
b2,n11_narrow_sector_3,narrow_sector,11,11,2946.736862800536,267.8851693455033,10758.684314002683,124,0,32,3,0.036562399996910244,0,0,0,0,
b2,n12_uniform_disk_2,uniform_disk,12,12,3241.965579286294,270.1637982738578,12219.827896431472,124,0,33,5,0.04301080000004731,0,0,0,0,
b2,n12_two_clusters_1,two_clusters,12,12,2408.07614136774,200.673011780645,8245.3807068387,117,0,32,2,0.04194819999975152,0,0,0,0,
b2,n12_coverage_seams_0,coverage_seams,12,12,4688.032922576507,390.66941021470893,18910.16461288254,143,0,42,12,0.03688519999559503,0,0,0,0,
b2,n13_uniform_disk_3,uniform_disk,13,13,3677.4610765173657,282.8816212705666,14437.305382586826,122,0,32,5,0.041507100002490915,0,0,0,0,
b2,n13_two_clusters_2,two_clusters,13,13,2338.935036531145,179.91807973316503,8024.675182655725,112,0,32,4,0.04005939999478869,0,0,0,0,
b2,n13_coverage_seams_1,coverage_seams,13,13,4894.602297283715,376.50786902182426,20138.01148641858,136,0,46,12,0.04003540000121575,0,0,0,0,
b2,n14_outer_ring_0,outer_ring,14,14,4768.553792467943,340.61098517628164,19132.76896233971,148,0,49,6,0.04206540000450332,0,0,0,0,
b2,n14_two_clusters_3,two_clusters,14,14,2753.198394261407,196.65702816152907,10025.99197130704,114,0,38,7,0.044531899999128655,0,0,0,0,
b2,n14_coverage_seams_2,coverage_seams,14,14,5077.777790988941,362.69841364206724,21138.8889549447,132,0,45,12,0.03949559999455232,0,0,0,0,
b2,n15_outer_ring_1,outer_ring,15,15,4654.76879220252,310.317919480168,18943.843961012597,134,0,48,8,0.046535200002836064,0,0,0,0,
b2,n15_narrow_sector_0,narrow_sector,15,15,3377.1405540181136,225.14270360120756,13875.702770090567,89,0,43,3,0.04584910000266973,0,0,0,0,
b2,n15_coverage_seams_3,coverage_seams,15,15,5306.05151203164,353.736767468776,22145.2575601582,136,0,49,16,0.04396239999914542,0,0,0,0,
b2,n16_outer_ring_2,outer_ring,16,16,4680.513573336234,292.5320983335146,18802.56786668119,143,0,54,5,0.052257799994549714,0,0,0,0,
b2,n16_narrow_sector_1,narrow_sector,16,16,1183.8823672872331,73.99264795545207,3964.411836436165,52,0,29,3,0.0539301999961026,0,0,0,0,
q2,n10_uniform_disk_0,uniform_disk,10,10,3033.228044012659,303.3228044012659,10781.140220063293,138,0,23,3,0.5595239999965997,0,0,0,0,
q2,n10_outer_ring_3,outer_ring,10,10,3425.512307797687,342.5512307797687,12187.561538988428,156,3,30,5,0.5226886000018567,0,0,0,0,
q2,n10_narrow_sector_2,narrow_sector,10,10,2551.6003279797937,255.16003279797937,8918.001639898966,119,2,22,2,0.4445714999892516,0,0,0,0,
q2,n11_uniform_disk_1,uniform_disk,11,11,2894.002290066419,263.09111727876535,10495.011450332093,123,2,23,5,0.5604982999939239,0,0,0,0,
q2,n11_two_clusters_0,two_clusters,11,11,2406.1477540490323,218.7407049135484,7945.7387702451615,127,1,21,3,0.40307420000317506,0,0,0,0,
q2,n11_narrow_sector_3,narrow_sector,11,11,2646.327105756364,240.5751914323967,9616.63552878182,111,2,24,1,0.4134054999885848,0,0,0,0,
q2,n12_uniform_disk_2,uniform_disk,12,12,3259.8532399470537,271.65443666225445,12069.266199735268,131,2,29,5,0.7606543000001693,0,0,0,0,
q2,n12_two_clusters_1,two_clusters,12,12,2295.387393472327,191.28228278936058,7461.936967361635,124,0,19,3,0.2616552999970736,0,0,0,0,
q2,n12_coverage_seams_0,coverage_seams,12,12,3197.317617148875,266.44313476240626,11571.588085744379,135,7,35,6,0.5392768000019714,0,0,0,0,
q2,n13_uniform_disk_3,uniform_disk,13,13,3197.1429133118513,245.93407025475778,12040.714566559254,121,0,23,4,0.4118123999942327,0,0,0,0,
q2,n13_two_clusters_2,two_clusters,13,13,2293.7086256169864,176.4391250474605,7568.543128084933,119,1,22,5,0.33398399999714456,0,0,0,0,
q2,n13_coverage_seams_1,coverage_seams,13,13,3375.6320553139203,259.66400425491696,12438.1602765696,133,13,44,7,0.9059954999975162,0,0,0,0,
q2,n14_outer_ring_0,outer_ring,14,14,3862.8471991904353,275.91765708503107,14809.235995952175,139,1,32,6,0.27001750000636093,0,0,0,0,
q2,n14_two_clusters_3,two_clusters,14,14,2399.812713718722,171.4151938370516,8094.063568593611,119,0,22,4,0.39567969999916386,0,0,0,0,
