method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
b5,n10_uniform_disk_0,uniform_disk,10,10,3126.002116710083,312.6002116710083,11310.01058355042,136,0,24,5,1.0420595000032336,2,0,4,0,
b5,n10_outer_ring_3,outer_ring,10,10,4042.630637369463,404.26306373694626,15523.153186847308,148,1,26,6,1.5752419000054942,5,0,6,0,
b5,n10_narrow_sector_2,narrow_sector,10,10,2621.1496346379113,262.1149634637911,9540.748173189551,111,0,20,2,2.2873132999957306,3,0,13,0,
b5,n11_uniform_disk_1,uniform_disk,11,11,3028.753898157044,275.3412634688222,11178.769490785218,124,0,27,5,2.2610439999989467,8,0,5,0,
b5,n11_two_clusters_0,two_clusters,11,11,2714.6970408859165,246.79064008053786,9568.485204429582,125,0,22,3,1.0178862000029767,4,0,8,0,
b5,n11_narrow_sector_3,narrow_sector,11,11,2610.552591084542,237.32296282586748,9552.762955422711,108,0,22,2,2.6675511000066763,5,0,14,0,
b5,n12_uniform_disk_2,uniform_disk,12,12,3511.3135497330372,292.6094624777531,13056.567748665186,141,0,31,5,1.2909049000008963,4,0,4,0,
b5,n12_two_clusters_1,two_clusters,12,12,2526.617345514029,210.5514454595024,8598.086727570142,125,0,22,2,2.020288800005801,4,0,8,0,
b5,n12_coverage_seams_0,coverage_seams,12,12,3477.9697982179855,289.8308165181655,13069.848991089922,135,0,29,8,1.6501285999984248,8,0,7,0,
b5,n13_uniform_disk_3,uniform_disk,13,13,3665.31473743999,281.9472874953839,14111.573687199945,130,0,29,4,1.7738964000018314,4,0,13,0,
b5,n13_two_clusters_2,two_clusters,13,13,2837.2748745293075,218.25191342533134,10281.37437264654,120,0,24,7,2.7086429999908432,6,0,8,0,
b5,n13_coverage_seams_1,coverage_seams,13,13,3882.6331188812787,298.66408606779066,15288.165594406393,127,2,32,9,2.128408500007936,7,0,5,0,
b5,n14_outer_ring_0,outer_ring,14,14,4114.046472968647,293.8604623549034,16035.232364843227,141,0,37,6,1.5717402000009315,9,0,2,0,
b5,n14_two_clusters_3,two_clusters,14,14,3110.257957101308,222.16128265009343,11716.289785506542,117,0,28,8,2.8113326000020606,8,0,10,0,
b5,n14_coverage_seams_2,coverage_seams,14,14,4046.8919542859503,289.06371102042505,16254.459771429754,122,0,32,9,1.9071062000002712,8,0,11,0,
b5,n15_outer_ring_1,outer_ring,15,15,4441.916011891004,296.1277341260669,17489.58005945502,146,0,35,9,2.689986900004442,9,0,16,0,
b5,n15_narrow_sector_0,narrow_sector,15,15,2975.324553907327,198.35497026048844,11896.622769536632,87,1,28,2,2.9685305999882985,5,0,17,0,
b5,n15_coverage_seams_3,coverage_seams,15,15,4297.303916588744,286.48692777258293,17321.519582943714,128,0,35,8,3.0128150999953505,7,0,9,0,
b5,n16_outer_ring_2,outer_ring,16,16,4582.189292635897,286.38683078974356,18125.94646317948,147,0,33,9,3.064180799992755,10,0,14,0,
b5,n16_narrow_sector_1,narrow_sector,16,16,1404.6328543161542,87.78955339475964,5028.164271580772,53,1,23,1,7.095612899996922,6,0,18,0,
