method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
b2,n10_uniform_disk_2,uniform_disk,10,10,3513.3850423773238,351.33850423773237,13326.925211886622,134,0,31,5,0.037673399987397715,0,0,0,0,
b2,n10_outer_ring_3,outer_ring,10,10,4081.3276488551287,408.13276488551287,15856.638244275644,145,0,36,6,0.03210209999815561,0,0,0,0,
b2,n10_two_clusters_0,two_clusters,10,10,3033.2868769605675,303.32868769605676,11106.434384802838,128,0,30,10,0.02866169999470003,0,0,0,0,
b2,n10_narrow_sector_1,narrow_sector,10,10,2914.932441981843,291.4932441981843,10864.662209909216,116,0,25,8,0.032046400010585785,0,0,0,0,
b2,n10_coverage_seams_2,coverage_seams,10,10,4342.631311637645,434.2631311637645,17043.156558188228,149,0,36,12,0.0329284000035841,0,0,0,0,
b2,n11_uniform_disk_3,uniform_disk,11,11,2814.8963151446183,255.89966501314711,10029.481575723092,126,0,27,6,0.041219200007617474,0,0,0,0,
b2,n11_outer_ring_0,outer_ring,11,11,4474.515086803744,406.7740988003404,17567.57543401872,153,0,40,6,0.03439800000342075,0,0,0,0,
b2,n11_two_clusters_1,two_clusters,11,11,2329.5160625727676,211.77418750661525,7387.580312863838,133,0,27,4,0.0402990000002319,0,0,0,0,
b2,n11_narrow_sector_2,narrow_sector,11,11,2411.855650508868,219.2596045917153,8614.27825254434,106,0,23,4,0.03318389999913052,0,0,0,0,
b2,n11_coverage_seams_3,coverage_seams,11,11,4569.187768782552,415.38070625295927,18130.93884391276,150,0,40,14,0.037533300012000836,0,0,0,0,
b2,n12_uniform_disk_0,uniform_disk,12,12,3269.8104828984724,272.48420690820603,12104.052414492362,133,0,37,7,0.0392130999971414,0,0,0,0,
b2,n12_outer_ring_1,outer_ring,12,12,4152.179873021504,346.0149894184587,16280.89936510753,141,0,40,5,0.04349460000230465,0,0,0,0,
b2,n12_two_clusters_2,two_clusters,12,12,2516.7006876474793,209.72505730395662,8848.503438237396,115,0,28,3,0.035521300000254996,0,0,0,0,
b2,n12_narrow_sector_3,narrow_sector,12,12,2885.7347187766272,240.4778932313856,11038.673593883137,104,0,35,2,0.037150399992242455,0,0,0,0,
b2,n12_coverage_seams_0,coverage_seams,12,12,4756.031284921546,396.33594041012884,19195.15642460774,145,0,43,12,0.036810999998124316,0,0,0,0,
b2,n13_uniform_disk_1,uniform_disk,13,13,3996.7078121691256,307.4390624745481,15498.539060845624,140,0,39,5,0.04783619999943767,0,0,0,0,
b2,n13_outer_ring_2,outer_ring,13,13,4705.920404552581,361.9938772732755,18734.602022762905,151,0,44,8,0.043731199999456294,0,0,0,0,
b2,n13_two_clusters_3,two_clusters,13,13,2795.345426254056,215.02657125031197,10171.727131270278,117,0,38,4,0.04619389999425039,0,0,0,0,
b2,n13_narrow_sector_0,narrow_sector,13,13,3108.0636293918765,239.08181764552896,12105.318146959386,105,0,39,2,0.04517709999345243,0,0,0,0,
b2,n13_coverage_seams_1,coverage_seams,13,13,4904.958670759589,377.304513135353,19974.793353797948,143,0,45,10,0.04593609999574255,0,0,0,0,
b2,n14_uniform_disk_2,uniform_disk,14,14,3455.2055272386606,246.80039480276147,13396.027636193305,119,0,38,4,0.05139480000070762,0,0,0,0,
b2,n14_outer_ring_3,outer_ring,14,14,4710.724656956048,336.48033263971774,19023.623284780242,142,0,49,5,0.04866150001180358,0,0,0,0,
b2,n14_two_clusters_0,two_clusters,14,14,2935.722888323574,209.69449202311242,10718.614441617867,121,0,34,5,0.043048699997598305,0,0,0,0,
b2,n14_narrow_sector_1,narrow_sector,14,14,2504.0382348571925,178.85987391837088,9305.191174285963,96,0,30,4,0.0457182000100147,0,0,0,0,
b2,n14_coverage_seams_2,coverage_seams,14,14,4949.734572361168,353.55246945436915,20183.672861805844,142,0,43,13,0.041819100006250665,0,0,0,0,
b2,n15_uniform_disk_3,uniform_disk,15,15,3449.240066309867,229.94933775399113,13546.200331549338,112,0,37,5,0.04864799999631941,0,0,0,0,
b2,n15_outer_ring_0,outer_ring,15,15,4959.0059624177375,330.60039749451585,20120.029812088687,146,0,52,4,0.046179199998732656,0,0,0,0,
b2,n15_two_clusters_1,two_clusters,15,15,2421.393593427751,161.42623956185008,8121.967967138755,121,0,37,2,0.055673700000625104,0,0,0,0,
b2,n15_narrow_sector_2,narrow_sector,15,15,3098.357698942101,206.5571799294734,10526.78849471049,154,0,37,9,0.0499402999994345,0,0,0,0,
b2,n15_coverage_seams_3,coverage_seams,15,15,4965.802510694186,331.0535007129457,20319.012553470926,140,0,48,19,0.04671310000412632,0,0,0,0,
b2,n16_uniform_disk_0,uniform_disk,16,16,3495.4126184419047,218.46328865261904,13272.063092209528,128,0,42,6,0.0562391999992542,0,0,0,0,
b2,n16_outer_ring_1,outer_ring,16,16,4855.395742902036,303.4622339313772,20291.978714510187,122,0,53,10,0.05974749999586493,0,0,0,0,
b2,n16_two_clusters_2,two_clusters,16,16,2085.297243024941,130.33107768905882,7161.486215124707,96,0,38,3,0.05372009999700822,0,0,0,0,
b2,n16_narrow_sector_3,narrow_sector,16,16,1354.7182933431145,84.66989333394466,4733.59146671557,55,0,32,0,0.05031789999338798,0,0,0,0,
b2,n16_coverage_seams_0,coverage_seams,16,16,5533.674189202832,345.854636825177,22853.370946014154,150,0,53,17,0.04983449999417644,0,0,0,0,
q2,n10_uniform_disk_2,uniform_disk,10,10,2885.456277698907,288.5456277698907,10117.281388494532,135,2,22,4,0.5620428999973228,0,0,0,0,
q2,n10_outer_ring_3,outer_ring,10,10,3265.3020592346993,326.5302059234699,12066.510296173494,134,1,25,6,0.5413993999973172,0,0,0,0,
q2,n10_two_clusters_0,two_clusters,10,10,2409.175820134453,240.91758201344527,8020.879100672266,126,0,17,3,0.2308612000051653,0,0,0,0,
q2,n10_narrow_sector_1,narrow_sector,10,10,2508.5641497302445,250.85641497302444,8537.820748651227,125,1,19,1,0.3589780000038445,0,0,0,0,
q2,n10_coverage_seams_2,coverage_seams,10,10,3145.45537728238,314.545537728238,11162.276886411904,142,6,29,8,0.6740943000040716,0,0,0,0,
q2,n11_uniform_disk_3,uniform_disk,11,11,2699.4747307046464,245.4067937004224,9367.373653523233,128,2,22,4,0.6391566999955103,0,0,0,0,
q2,n11_outer_ring_0,outer_ring,11,11,3792.084174635148,344.7349249668316,14450.420873175735,141,2,28,5,0.42747189999499824,0,0,0,0,
q2,n11_two_clusters_1,two_clusters,11,11,2301.5842187175467,209.23492897432243,7552.9210935877345,122,2,21,3,0.4377574999962235,0,0,0,0,
q2,n11_narrow_sector_2,narrow_sector,11,11,2514.901321589227,228.6273928717479,8299.506607946134,133,1,19,3,0.30925579999166075,0,0,0,0,
q2,n11_coverage_seams_3,coverage_seams,11,11,3230.791565186726,293.7083241078842,11293.957825933629,150,9,36,8,0.9382154999912018,0,0,0,0,
q2,n12_uniform_disk_0,uniform_disk,12,12,3000.9031307744,250.07526089786666,10849.515653872006,129,0,23,4,0.6299301999970339,0,0,0,0,
q2,n12_outer_ring_1,outer_ring,12,12,3329.3268759604452,277.4439063300371,12326.63437980222,132,7,35,6,0.9057906000089133,0,0,0,0,
q2,n12_two_clusters_2,two_clusters,12,12,2441.3128906579127,203.4427408881594,8271.564453289564,122,0,22,3,0.5433279000135371,0,0,0,0,
q2,n12_narrow_sector_3,narrow_sector,12,12,2422.137940556508,201.844828379709,8640.689702782542,106,0,21,1,0.49153450000449084,0,0,0,0,
q2,n12_coverage_seams_0,coverage_seams,12,12,3355.0782582939464,279.58985485782887,12350.391291469728,134,11,41,6,1.0977657000039471,0,0,0,0,
q2,n13_uniform_disk_1,uniform_disk,13,13,3346.844236561368,257.44955665856673,12619.221182806841,124,7,36,5,1.1722477000002982,0,0,0,0,
q2,n13_outer_ring_2,outer_ring,13,13,3820.01145348552,293.8470348835016,14615.057267427605,138,3,31,5,0.5892251999903237,0,0,0,0,
q2,n13_two_clusters_3,two_clusters,13,13,2510.956193912338,193.15047645479524,8609.780969561694,121,0,22,2,0.47161180000694003,0,0,0,0,
q2,n13_narrow_sector_0,narrow_sector,13,13,2579.976118827922,198.4597014483017,9409.88059413961,106,0,22,1,0.5111079999915091,0,0,0,0,
q2,n13_coverage_seams_1,coverage_seams,13,13,3437.737808552873,264.4413698886825,12378.68904276436,145,13,44,6,1.208702899995842,0,0,0,0,
q2,n14_uniform_disk_2,uniform_disk,14,14,3062.711357044474,218.76509693174813,11533.55678522237,115,1,28,4,0.838642799993977,0,0,0,0,
q2,n14_outer_ring_3,outer_ring,14,14,3827.4782056510426,273.3913004036459,14472.39102825522,144,2,32,7,0.7228485000086948,0,0,0,0,
q2,n14_two_clusters_0,two_clusters,14,14,2653.9594178533634,189.5685298466688,9234.797089266818,123,1,24,2,0.625577600003453,0,0,0,0,
