method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
b5,n10_uniform_disk_0,uniform_disk,10,10,3297.031455700396,329.70314557003957,12155.157278501978,136,1,22,3,1.1579146000003675,2,0,4,0,
b5,n10_outer_ring_3,outer_ring,10,10,3812.8245671941004,381.28245671941005,14394.122835970502,148,0,25,5,1.3327799000107916,5,0,5,0,
b5,n10_narrow_sector_2,narrow_sector,10,10,2617.550044453957,261.7550044453957,9522.750222269784,111,0,20,0,1.7598083000048064,3,0,13,0,
b5,n11_uniform_disk_1,uniform_disk,11,11,3419.377111314763,310.85246466497847,13091.885556573818,125,0,24,6,2.1197553999954835,7,0,5,0,
b5,n11_two_clusters_0,two_clusters,11,11,2839.796587751599,258.16332615923625,10138.982938757996,127,0,22,4,1.1449257000058424,5,0,8,0,
b5,n11_narrow_sector_3,narrow_sector,11,11,2600.8963637756315,236.44512397960287,9564.481818878157,106,0,22,0,2.1728604000090854,5,0,14,0,
b5,n12_uniform_disk_2,uniform_disk,12,12,3678.67217012744,306.55601417728667,13773.360850637202,144,2,32,4,1.5353373999969335,5,0,6,0,
b5,n12_two_clusters_1,two_clusters,12,12,2453.532891412691,204.4610742843909,8232.664457063454,125,0,22,2,2.063498699993943,4,0,8,0,
b5,n12_coverage_seams_0,coverage_seams,12,12,3698.7519769811997,308.2293314151,14113.759884906007,137,0,30,7,1.7953049000061583,9,0,7,0,
b5,n13_uniform_disk_3,uniform_disk,13,13,3542.2067569507085,272.47744284236217,13536.033784753547,129,0,28,3,1.5653374999965308,4,0,12,0,
b5,n13_two_clusters_2,two_clusters,13,13,2736.2713645284916,210.4824126560378,9766.356822642458,120,1,26,6,2.6523006000061287,6,0,9,0,
b5,n13_coverage_seams_1,coverage_seams,13,13,4668.84027309906,359.1415594691585,19199.201365495304,128,1,31,12,2.467215500000748,8,0,9,0,
b5,n14_outer_ring_0,outer_ring,14,14,3984.8187068926386,284.6299076351885,15409.093534463193,140,0,37,6,1.4530040999961784,9,0,3,0,
b5,n14_two_clusters_3,two_clusters,14,14,3017.6904036377655,215.54931454555467,11373.452018188827,113,0,26,7,2.5474019999965094,6,0,9,0,
b5,n14_coverage_seams_2,coverage_seams,14,14,3945.1594679079612,281.79710485056864,15770.7973395398,121,0,31,7,1.8153149999998277,8,0,11,0,
b5,n15_outer_ring_1,outer_ring,15,15,4182.421246792064,278.82808311947093,16237.106233960327,144,1,36,9,2.7902579000074184,8,0,17,0,
b5,n15_narrow_sector_0,narrow_sector,15,15,2732.1960190584477,182.1464012705632,10460.980095292232,95,0,27,2,4.815701700004865,6,0,16,0,
b5,n15_coverage_seams_3,coverage_seams,15,15,4696.826860453366,313.1217906968911,19319.13430226684,128,0,37,8,2.16388310000184,9,0,11,0,
b5,n16_outer_ring_2,outer_ring,16,16,5017.88007010774,313.61750438173374,20704.400350538697,133,1,33,9,2.57049480000569,8,0,12,0,
b5,n16_narrow_sector_1,narrow_sector,16,16,1404.6328543161542,87.78955339475964,5028.164271580772,53,1,23,1,6.567418599996017,6,0,18,0,
