method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
latest,n10_uniform_disk_0,uniform_disk,10,10,3206.7176697215023,320.67176697215024,12013.58834860751,126,1,0.17766640000627376,0,0.0,0,
latest,n10_uniform_disk_1,uniform_disk,10,10,2820.717892178915,282.0717892178915,9813.589460894573,133,6,0.1772480999934487,0,0.0,0,
latest,n10_uniform_disk_2,uniform_disk,10,10,2916.7405469796995,291.67405469796995,10173.702734898494,138,3,0.16040110000176355,0,0.0,0,
latest,n10_uniform_disk_3,uniform_disk,10,10,2549.320339957658,254.93203399576578,8641.60169978829,128,2,0.1995961999928113,0,0.0,0,
latest,n10_outer_ring_0,outer_ring,10,10,3571.063413483189,357.1063413483189,13480.317067415945,138,1,0.14986920000228565,0,0.0,0,
latest,n10_outer_ring_1,outer_ring,10,10,3082.632400428553,308.2632400428553,10473.162002142764,154,7,0.1489125999942189,0,0.0,0,
latest,n10_outer_ring_2,outer_ring,10,10,3411.696658245499,341.1696658245499,12543.483291227496,142,2,0.14591659999859985,0,0.0,0,
latest,n10_outer_ring_3,outer_ring,10,10,3272.190713501767,327.2190713501767,12035.953567508835,136,1,0.1580312000005506,0,0.0,0,
latest,n10_two_clusters_0,two_clusters,10,10,2428.4630491992034,242.84630491992033,7942.315245996019,132,0,0.18044240000017453,0,0.0,0,
latest,n10_two_clusters_1,two_clusters,10,10,2434.2829306271983,243.42829306271983,8011.414653135994,130,2,0.17352419999951962,0,0.0,0,
latest,n10_two_clusters_2,two_clusters,10,10,2501.507969230085,250.1507969230085,8407.539846150426,128,2,0.1706529000075534,0,0.0,0,
latest,n10_two_clusters_3,two_clusters,10,10,2670.3711061384433,267.03711061384433,9281.855530692214,128,0,0.15711780000128783,0,0.0,0,
latest,n10_narrow_sector_0,narrow_sector,10,10,2932.186948995265,293.2186948995265,10950.93474497633,116,1,0.1875273999903584,0,0.0,0,
latest,n10_narrow_sector_1,narrow_sector,10,10,2546.3687215183036,254.63687215183035,8801.843607591518,123,1,0.18197410000720993,0,0.0,0,
latest,n10_narrow_sector_2,narrow_sector,10,10,2736.6897387782496,273.66897387782495,9563.448693891247,129,1,0.14587769999343436,0,0.0,0,
latest,n10_narrow_sector_3,narrow_sector,10,10,2405.7503050037994,240.57503050037994,8223.751525018995,119,0,0.1737450000073295,0,0.0,0,
latest,n10_coverage_seams_0,coverage_seams,10,10,3499.695364133095,349.9695364133095,12978.47682066548,141,5,0.12056989999837242,0,0.0,0,
latest,n10_coverage_seams_1,coverage_seams,10,10,3636.8922770347344,363.6892277034734,13514.461385173676,144,10,0.1387242999917362,0,0.0,0,
latest,n10_coverage_seams_2,coverage_seams,10,10,3456.19797188127,345.619797188127,12700.989859406349,142,7,0.12389230000553653,0,0.0,0,
latest,n10_coverage_seams_3,coverage_seams,10,10,3550.775173617877,355.0775173617877,13318.875868089382,137,8,0.13046359999862034,0,0.0,0,
latest,n11_uniform_disk_0,uniform_disk,11,11,2900.53256594401,263.6847787221827,10377.662829720057,129,0,0.15855780000856612,0,0.0,0,
latest,n11_uniform_disk_1,uniform_disk,11,11,3177.6951919630774,288.8813810875525,11748.475959815389,129,2,0.20037400000728667,0,0.0,0,
latest,n11_uniform_disk_2,uniform_disk,11,11,2864.6256252184435,260.42051138349484,9813.128126092222,142,0,0.1562697999906959,0,0.0,0,
latest,n11_uniform_disk_3,uniform_disk,11,11,3180.5652020149305,289.1422910922664,11597.826010074648,135,0,0.1501970999961486,0,0.0,0,
