method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
latest,n10_uniform_disk_0,uniform_disk,10,10,3055.977615056573,305.59776150565733,10769.888075282866,142,2,0.14377959999546874,0,0.0,0,
latest,n10_outer_ring_3,outer_ring,10,10,3399.026995865213,339.9026995865213,12030.13497932607,157,3,0.12174120001145639,0,0.0,0,
latest,n10_narrow_sector_2,narrow_sector,10,10,2536.957295772479,253.6957295772479,8819.786478862397,120,2,0.1870142000116175,0,0.0,0,
latest,n11_uniform_disk_1,uniform_disk,11,11,3013.0071715108525,273.90974286462296,10820.03585755426,131,4,0.1788312999997288,0,0.0,0,
latest,n11_two_clusters_0,two_clusters,11,11,2530.8770714767315,230.07973377061197,8519.385357383662,129,1,0.15634840000711847,0,0.0,0,
latest,n11_narrow_sector_3,narrow_sector,11,11,2704.489152819703,245.86265025633665,9837.445764098517,114,1,0.19540799999958836,0,0.0,0,
latest,n12_uniform_disk_2,uniform_disk,12,12,3220.7945994398783,268.3995499533232,11458.972997199386,146,0,0.19886079999560025,0,0.0,0,
latest,n12_two_clusters_1,two_clusters,12,12,2273.7020405007606,189.47517004173005,7478.510202503801,120,0,0.21552250000240747,0,0.0,0,
latest,n12_coverage_seams_0,coverage_seams,12,12,3290.890339137453,274.24086159478776,12039.451695687261,135,7,0.1481944000115618,0,0.0,0,
latest,n13_uniform_disk_3,uniform_disk,13,13,3095.3339992678575,238.10261532829674,11866.669996339288,110,1,0.22576119999575894,0,0.0,0,
latest,n13_two_clusters_2,two_clusters,13,13,2256.7450460606246,173.5957727738942,7403.725230303124,119,0,0.22829369999817573,0,0.0,0,
latest,n13_coverage_seams_1,coverage_seams,13,13,3528.191255546526,271.39932734973274,13225.956277732626,132,13,0.18182979999983218,0,0.0,0,
latest,n14_outer_ring_0,outer_ring,14,14,4140.474309988249,295.7481649991606,16107.371549941243,142,2,0.18550560000585392,0,0.0,0,
