method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
q2,n10_uniform_disk_0,uniform_disk,10,10,3020.8711514743964,302.08711514743965,10719.355757371985,138,0,0.8189794000063557,7,0.6843894000048749,0,
q2,n10_outer_ring_3,outer_ring,10,10,3421.5698486060264,342.1569848606026,12182.849243030128,156,2,0.8413394000090193,8,0.7108518000022741,0,
q2,n10_narrow_sector_2,narrow_sector,10,10,2551.6003279797937,255.16003279797937,8918.001639898966,119,2,0.6669783999968786,4,0.4060942999931285,0,
q2,n11_uniform_disk_1,uniform_disk,11,11,2894.002290066419,263.09111727876535,10495.011450332093,123,2,0.9332410000060918,6,0.6783612999861361,0,
q2,n11_two_clusters_0,two_clusters,11,11,2406.1477540490323,218.7407049135484,7945.7387702451615,127,1,0.7520078000088688,4,0.5294106999936048,0,
q2,n11_narrow_sector_3,narrow_sector,11,11,2608.3270891205934,237.1206444655085,9491.635445602968,109,1,0.59046419999504,3,0.33935760000895243,0,
q2,n12_uniform_disk_2,uniform_disk,12,12,3261.9895348640393,271.83246123866996,12079.9476743202,131,2,1.3108816000021761,9,1.0426860000152374,0,
q2,n12_two_clusters_1,two_clusters,12,12,2295.387393472327,191.28228278936058,7461.936967361635,124,0,0.294996299999184,0,0.0,0,
q2,n12_coverage_seams_0,coverage_seams,12,12,3197.317617148875,266.44313476240626,11571.588085744379,135,7,1.0057324999943376,7,0.7998706999933347,0,
q2,n13_uniform_disk_3,uniform_disk,13,13,3228.57893564616,248.35222581893538,12137.894678230803,123,0,0.7520971999911126,4,0.4696879999974044,0,
q2,n13_two_clusters_2,two_clusters,13,13,2293.7086256169864,176.4391250474605,7568.543128084933,119,1,0.42422899999655783,1,0.12848220000159927,0,
q2,n13_coverage_seams_1,coverage_seams,13,13,3375.6320553139203,259.66400425491696,12438.1602765696,133,13,1.841368199995486,13,1.5676669999957085,0,
q2,n14_outer_ring_0,outer_ring,14,14,3862.8471991904353,275.91765708503107,14809.235995952175,139,1,0.4316167999932077,2,0.20507199999701697,0,
q2,n14_two_clusters_3,two_clusters,14,14,2418.4662817821913,172.7475915558708,8097.331408910957,122,0,0.5208488000062061,2,0.20105709998460952,0,
q2,n14_coverage_seams_2,coverage_seams,14,14,3374.9674458058075,241.0691032718434,12334.837229029039,137,9,1.3107797999982722,9,1.0781439000129467,0,
q2,n15_outer_ring_1,outer_ring,15,15,3537.0642217048435,235.80428144698956,13385.321108524218,130,4,1.2687330000044312,9,0.9781672000099206,0,
q2,n15_narrow_sector_0,narrow_sector,15,15,2520.8237280647695,168.05491520431798,9359.118640323844,96,0,0.4453353999997489,1,0.10817279999901075,0,
q2,n15_coverage_seams_3,coverage_seams,15,15,3492.423767060958,232.82825113739722,13292.11883530479,123,12,1.685285700004897,12,1.420502699984354,0,
q2,n16_outer_ring_2,outer_ring,16,16,3338.8104965038933,208.67565603149333,12599.052482519463,123,3,0.9239910000032978,5,0.6360892000084277,0,
q2,n16_narrow_sector_1,narrow_sector,16,16,1171.8471163310714,73.24044477069197,3849.235581655359,54,0,0.46635109999624547,2,0.32753589999629185,0,
