method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
q2,n10_uniform_disk_0,uniform_disk,10,10,3035.9463878036886,303.5946387803689,10754.731939018444,139,1,0.6509468000003835,8,0.506103499996243,0,
q2,n10_outer_ring_3,outer_ring,10,10,3435.5594547388723,343.5559454738872,12252.79727369436,156,2,0.5446729999966919,8,0.4149433999991743,0,
q2,n10_narrow_sector_2,narrow_sector,10,10,2555.3997666570326,255.53997666570325,8936.998833285163,119,2,0.41579870000714436,4,0.20517249999102205,0,
q2,n11_uniform_disk_1,uniform_disk,11,11,2894.002290066419,263.09111727876535,10495.011450332093,123,2,0.5363726999930805,6,0.3286641000158852,0,
q2,n11_two_clusters_0,two_clusters,11,11,2417.1281830469457,219.73892573154052,8000.64091523473,127,1,0.39306820000638254,4,0.2318449999729637,0,
q2,n11_narrow_sector_3,narrow_sector,11,11,2646.327105756364,240.5751914323967,9616.63552878182,111,2,0.4149366000056034,4,0.21271519997389987,0,
q2,n12_uniform_disk_2,uniform_disk,12,12,3287.857062231468,273.98808851928897,12194.285311157335,131,3,0.7603238999872701,9,0.5462340000085533,0,
q2,n12_two_clusters_1,two_clusters,12,12,2295.387393472327,191.28228278936058,7461.936967361635,124,0,0.24575990000448655,0,0.0,0,
q2,n12_coverage_seams_0,coverage_seams,12,12,3197.317617148875,266.44313476240626,11571.588085744379,135,7,0.5740643000026466,7,0.4110202000156278,0,
q2,n13_uniform_disk_3,uniform_disk,13,13,3237.5015211379823,249.03857854907557,12182.507605689912,123,0,0.43503969999437686,4,0.22967450000578538,0,
q2,n13_two_clusters_2,two_clusters,13,13,2293.7086256169864,176.4391250474605,7568.543128084933,119,1,0.32548580000002403,1,0.059428000007756054,0,
q2,n13_coverage_seams_1,coverage_seams,13,13,3375.6320553139203,259.66400425491696,12438.1602765696,133,13,0.9161384000035468,13,0.7254796000052011,0,
q2,n14_outer_ring_0,outer_ring,14,14,3862.8471991904353,275.91765708503107,14809.235995952175,139,1,0.27256349999515805,2,0.09713059999921825,0,
q2,n14_two_clusters_3,two_clusters,14,14,2399.812713718722,171.4151938370516,8094.063568593611,119,0,0.3820885999884922,2,0.10754049998649862,0,
q2,n14_coverage_seams_2,coverage_seams,14,14,3374.9674458058075,241.0691032718434,12334.837229029039,137,9,0.7342243000020972,9,0.5514941999572329,0,
q2,n15_outer_ring_1,outer_ring,15,15,3537.0642217048435,235.80428144698956,13385.321108524218,130,4,0.7415133000031346,9,0.5074096999742324,0,
q2,n15_narrow_sector_0,narrow_sector,15,15,2520.8237280647695,168.05491520431798,9359.118640323844,96,0,0.32422710000537336,1,0.055366300002788194,0,
q2,n15_coverage_seams_3,coverage_seams,15,15,3492.423767060958,232.82825113739722,13292.11883530479,123,12,0.9307681000063894,12,0.7255864000035217,0,
q2,n16_outer_ring_2,outer_ring,16,16,3338.8104965038933,208.67565603149333,12599.052482519463,123,3,0.5248812000063481,5,0.27723979999427684,0,
q2,n16_narrow_sector_1,narrow_sector,16,16,1178.6557631999808,73.6659851999988,3883.2788159999054,54,0,0.22176260000560433,2,0.1269355000113137,0,
