method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
q2,n10_uniform_disk_0,uniform_disk,10,10,3029.2305841695334,302.9230584169533,10686.152920847664,140,2,0.6189294999931008,8,0.4759803000051761,0,
q2,n10_outer_ring_3,outer_ring,10,10,3415.338865491422,341.5338865491422,12111.694327457108,157,3,0.5492201000015484,8,0.4257612000219524,0,
q2,n10_narrow_sector_2,narrow_sector,10,10,2551.873090688376,255.1873090688376,8879.365453441878,120,3,0.4541942000068957,4,0.23555860000487883,0,
q2,n11_uniform_disk_1,uniform_disk,11,11,2954.9248110904236,268.6295282809476,10479.62405545212,132,6,0.7529341000044951,10,0.5525553999759723,0,
q2,n11_two_clusters_0,two_clusters,11,11,2402.285234644798,218.38956678589074,7926.426173223991,127,1,0.40146619999723043,4,0.23891609998827334,0,
q2,n11_narrow_sector_3,narrow_sector,11,11,2626.283225174776,238.75302047043417,9531.41612587388,111,1,0.43966039999213535,4,0.21940220000396948,0,
q2,n12_uniform_disk_2,uniform_disk,12,12,3265.3141833614495,272.1095152801208,12056.57091680725,132,3,0.7932340000115801,10,0.5804530000314116,0,
q2,n12_two_clusters_1,two_clusters,12,12,2295.387393472327,191.28228278936058,7461.936967361635,124,0,0.2734603999997489,0,0.0,0,
q2,n12_coverage_seams_0,coverage_seams,12,12,3197.317617148875,266.44313476240626,11571.588085744379,135,7,0.5663291999953799,7,0.39641590001701843,0,
q2,n13_uniform_disk_3,uniform_disk,13,13,3197.1429133118513,245.93407025475778,12040.714566559254,121,0,0.4128624999866588,3,0.190934299986111,0,
q2,n13_two_clusters_2,two_clusters,13,13,2291.2142237156722,176.24724797812863,7556.07111857836,119,1,0.3036995000002207,1,0.054845799997565337,0,
q2,n13_coverage_seams_1,coverage_seams,13,13,3375.6320553139203,259.66400425491696,12438.1602765696,133,13,0.9316628000087803,13,0.7345574999781093,0,
q2,n14_outer_ring_0,outer_ring,14,14,3862.8471991904353,275.91765708503107,14809.235995952175,139,1,0.2660911999992095,2,0.09842130000470206,0,
q2,n14_two_clusters_3,two_clusters,14,14,2439.621172198737,174.25865515705263,8168.1058609936845,123,0,0.36247209999419283,2,0.09863700000278186,0,
q2,n14_coverage_seams_2,coverage_seams,14,14,3374.9674458058075,241.0691032718434,12334.837229029039,137,9,0.7264967000082834,9,0.5400999999983469,0,
q2,n15_outer_ring_1,outer_ring,15,15,3378.1630664526565,225.21087109684376,12575.815332263277,130,5,0.7149002000078326,9,0.4870263999910094,0,
q2,n15_narrow_sector_0,narrow_sector,15,15,2520.8237280647695,168.05491520431798,9359.118640323844,96,0,0.3193404999910854,1,0.05472269999154378,0,
q2,n15_coverage_seams_3,coverage_seams,15,15,3492.423767060958,232.82825113739722,13292.11883530479,123,12,0.958941999997478,12,0.7488811000221176,0,
q2,n16_outer_ring_2,outer_ring,16,16,3333.2246476357427,208.32654047723392,12571.12323817871,123,3,0.5134041999990586,5,0.26980950000870507,0,
q2,n16_narrow_sector_1,narrow_sector,16,16,1201.085076940898,75.06781730880613,3880.42538470449,57,2,0.34330019999470096,4,0.24672429999918677,0,
