method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,failure
latest,n10_uniform_disk_0,uniform_disk,10,10,3055.977615056573,305.59776150565733,10769.888075282866,142,2,0.1547735999993165,
latest,n10_outer_ring_3,outer_ring,10,10,3399.026995865213,339.9026995865213,12030.13497932607,157,3,0.12987100000100327,
latest,n10_narrow_sector_2,narrow_sector,10,10,2536.957295772479,253.6957295772479,8819.786478862397,120,2,0.20876099999804865,
latest,n11_uniform_disk_1,uniform_disk,11,11,3013.0071715108525,273.90974286462296,10820.03585755426,131,4,0.2033757000026526,
latest,n11_two_clusters_0,two_clusters,11,11,2530.8770714767315,230.07973377061197,8519.385357383662,129,1,0.1817811000000802,
latest,n11_narrow_sector_3,narrow_sector,11,11,2704.489152819703,245.86265025633665,9837.445764098517,114,1,0.21678400000018883,
latest,n12_uniform_disk_2,uniform_disk,12,12,3220.7945994398783,268.3995499533232,11458.972997199386,146,0,0.21549529999902006,
latest,n12_two_clusters_1,two_clusters,12,12,2273.7020405007606,189.47517004173005,7478.510202503801,120,0,0.2373200000001816,
latest,n12_coverage_seams_0,coverage_seams,12,12,3290.890339137453,274.24086159478776,12039.451695687261,135,7,0.17500750000181142,
latest,n13_uniform_disk_3,uniform_disk,13,13,3095.3339992678575,238.10261532829674,11866.669996339288,110,1,0.2571891000006872,
latest,n13_two_clusters_2,two_clusters,13,13,2256.7450460606246,173.5957727738942,7403.725230303124,119,0,0.2421580999980506,
latest,n13_coverage_seams_1,coverage_seams,13,13,3528.191255546526,271.39932734973274,13225.956277732626,132,13,0.20445209999888903,
latest,n14_outer_ring_0,outer_ring,14,14,4140.474309988249,295.7481649991606,16107.371549941243,142,2,0.20224640000014915,
latest,n14_two_clusters_3,two_clusters,14,14,2501.1442466411254,178.6531604743661,8550.721233205626,121,0,0.2759522999986075,
latest,n14_coverage_seams_2,coverage_seams,14,14,3485.5431405603545,248.96736718288247,12887.71570280177,137,9,0.18825090000245837,
latest,n15_outer_ring_1,outer_ring,15,15,3552.6367606012072,236.84245070674714,13453.183803006035,130,5,0.23680619999868213,
latest,n15_narrow_sector_0,narrow_sector,15,15,2527.249868517526,168.48332456783507,9371.249342587631,97,0,0.28362420000121347,
latest,n15_coverage_seams_3,coverage_seams,15,15,3634.8777857414925,242.3251857160995,14004.388928707463,123,12,0.2145328000005975,
latest,n16_outer_ring_2,outer_ring,16,16,3361.872752134523,210.1170470084077,12684.363760672613,124,3,0.24291860000084853,
latest,n16_narrow_sector_1,narrow_sector,16,16,1174.4192916491306,73.40120572807066,3807.0964582456536,56,0,0.08857450000141398,
b2,n10_uniform_disk_0,uniform_disk,10,10,3154.9489735930497,315.49489735930496,11149.744867965246,147,0,0.032961900000373134,
b2,n10_outer_ring_3,outer_ring,10,10,3950.3451818521153,395.03451818521154,14931.725909260575,154,0,0.03340559999924153,
b2,n10_narrow_sector_2,narrow_sector,10,10,2775.996571034349,277.5996571034349,10299.982855171746,112,0,0.034531900000729365,
b2,n11_uniform_disk_1,uniform_disk,11,11,2996.761510042289,272.432864549299,10798.807550211448,131,0,0.04729289999886532,
b2,n11_two_clusters_0,two_clusters,11,11,2710.4911681650674,246.40828801500612,9527.455840825336,126,0,0.03525000000081491,
b2,n11_narrow_sector_3,narrow_sector,11,11,2946.736862800536,267.8851693455033,10758.684314002683,124,0,0.040295499999047024,
b2,n12_uniform_disk_2,uniform_disk,12,12,3241.965579286294,270.1637982738578,12219.827896431472,124,0,0.04280510000171489,
b2,n12_two_clusters_1,two_clusters,12,12,2408.07614136774,200.673011780645,8245.3807068387,117,0,0.046815699999569915,
b2,n12_coverage_seams_0,coverage_seams,12,12,4688.032922576507,390.66941021470893,18910.16461288254,143,0,0.04164379999929224,
b2,n13_uniform_disk_3,uniform_disk,13,13,3677.4610765173657,282.8816212705666,14437.305382586826,122,0,0.04711139999926672,
b2,n13_two_clusters_2,two_clusters,13,13,2338.935036531145,179.91807973316503,8024.675182655725,112,0,0.04570909999893047,
b2,n13_coverage_seams_1,coverage_seams,13,13,4894.602297283715,376.50786902182426,20138.01148641858,136,0,0.04575209999893559,
b2,n14_outer_ring_0,outer_ring,14,14,4768.553792467943,340.61098517628164,19132.76896233971,148,0,0.047882499999104766,
b2,n14_two_clusters_3,two_clusters,14,14,2753.198394261407,196.65702816152907,10025.99197130704,114,0,0.050657499999942956,
b2,n14_coverage_seams_2,coverage_seams,14,14,5077.777790988941,362.69841364206724,21138.8889549447,132,0,0.04485650000060559,
b2,n15_outer_ring_1,outer_ring,15,15,4654.76879220252,310.317919480168,18943.843961012597,134,0,0.05265829999916605,
b2,n15_narrow_sector_0,narrow_sector,15,15,3377.1405540181136,225.14270360120756,13875.702770090567,89,0,0.05245699999795761,
b2,n15_coverage_seams_3,coverage_seams,15,15,5306.05151203164,353.736767468776,22145.2575601582,136,0,0.04995810000036727,
b2,n16_outer_ring_2,outer_ring,16,16,4680.513573336234,292.5320983335146,18802.56786668119,143,0,0.054451899999548914,
b2,n16_narrow_sector_1,narrow_sector,16,16,1183.8823672872331,73.99264795545207,3964.411836436165,52,0,0.0561760000018694,
