steps,wall_s,sps,episodes,success_rate_100,mean_virtual_s_success_100,mean_cleared_100,policy_loss,value_loss,entropy,approx_kl,clip_fraction,collection_s,optimization_s
8192,1.0219119000103092,8016.346614534343,0,nan,nan,nan,-0.00346721475943923,0.905961275100708,3.834620714187622,0.001243749400600791,0.000946044921875,0.5627743999939412,0.4589683999947738
16384,1.6204836999968393,10110.561433004204,64,1.0,38586.066550140626,13.078125,-0.00044866965617984533,24.118452072143555,3.5018534660339355,0.0002755872847046703,0.0,0.30453290000150446,0.2937334999878658
24576,2.1578229000006104,11389.257199927319,127,1.0,39573.97823305,12.75,0.00017829379066824913,18.832422256469727,3.430018901824951,2.5401408493053168e-05,0.0,0.2506921999884071,0.28610240000125486
32768,2.8242763000016566,11602.264268542274,141,1.0,39158.47341927,12.69,-0.00036012870259582996,4.351651668548584,3.6795811653137207,9.417368710273877e-05,0.0,0.35169899999164045,0.3075042999989819
40960,3.5322840000008,11595.896592683579,192,1.0,38871.96825253,12.88,-0.000586402602493763,9.513401985168457,3.6710257530212402,0.00014854490291327238,0.0,0.41613120000693016,0.2914955000014743
49152,4.128801900005783,11904.664159336673,256,1.0,38644.14269002,12.72,-0.00037272158078849316,11.740041732788086,3.4706432819366455,6.428845517802984e-05,0.0,0.34319060000416357,0.2529198999982327
57344,4.663404699997045,12296.5952322423,293,1.0,37413.85508499,12.61,-0.0008315047598443925,6.654346466064453,3.535947799682617,0.00023312192934099585,0.0,0.2495004000084009,0.28471630001149606
65536,5.31584360000852,12328.428925165323,327,1.0,38099.26283549999,13.05,-0.0015646688407287002,4.709778308868408,3.681190013885498,0.0008049627649597824,0.0,0.33820339999510907,0.3138816999999108
73728,5.867245700006606,12566.032474132962,384,1.0,37805.7952484,13.0,-0.001775248907506466,6.412091255187988,3.5090298652648926,0.0011700787581503391,0.000152587890625,0.25449639999715146,0.29661140000098385
81920,6.418289799999911,12763.524638604062,429,1.0,36895.71564875999,12.89,-0.0023223457392305136,4.789107322692871,3.448025703430176,0.001965699251741171,0.00518798828125,0.2514146999892546,0.29928629999631085
90112,6.991601700006868,12888.606054305337,457,1.0,36534.15533004,13.04,-0.004832338076084852,2.643068552017212,3.5584964752197266,0.005823801271617413,0.055450439453125,0.2554020999959903,0.29829970000719186
98304,7.540578100000857,13036.666247112913,510,1.0,35765.86501361,13.13,-0.0030745030380785465,3.0519466400146484,3.4280242919921875,0.0016228208551183343,0.0023193359375,0.25127799999609124,0.2972752999921795
106496,8.16221609999775,13047.43695771904,552,1.0,34499.938184930004,13.16,-0.006640752777457237,2.357795238494873,3.310317039489746,0.007664354983717203,0.094970703125,0.30059799998707604,0.3205158000055235
114688,8.766253200010397,13082.898404059784,578,1.0,33821.43474281,13.13,-0.008301284164190292,1.4046574831008911,3.3377840518951416,0.00924840196967125,0.123565673828125,0.2843811999919126,0.319294600005378
122880,9.304530599998543,13206.469545064341,623,1.0,32458.260139179998,13.44,-0.006786700338125229,1.5488414764404297,3.0199854373931885,0.007630819920450449,0.09259033203125,0.24803020000399556,0.28989159999764524
131072,9.837638099998003,13323.523255040924,644,1.0,31536.40450682,13.46,-0.00964557845145464,0.8080649375915527,3.1056337356567383,0.008382191881537437,0.11114501953125,0.24716349999653175,0.2855641000060132
139264,10.447015600002487,13330.50560391303,690,1.0,29715.303309880008,13.16,-0.006901074200868607,0.7100825309753418,2.850132942199707,0.0069236839190125465,0.095001220703125,0.24539779999759048,0.3635616999963531
147456,11.056039900009637,13337.144342240614,712,1.0,28059.078894959996,13.21,-0.006823340430855751,0.5899726152420044,2.9774415493011475,0.006982926279306412,0.091278076171875,0.31096820000675507,0.2975936000002548
155648,11.646671700000297,13364.161368092486,755,1.0,25558.673652039994,13.28,-0.006808189675211906,0.5421637892723083,2.739807605743408,0.004792016930878162,0.0662841796875,0.2477844999957597,0.34240629999840166
163840,12.497038500005146,13110.306093714325,776,1.0,24261.027651780005,13.37,-0.008361529558897018,0.31679365038871765,2.7900218963623047,0.0062208017334342,0.08917236328125,0.5897543999890331,0.2602654999936931
172032,13.009565300002578,13223.501018897681,811,1.0,22128.911842740006,13.28,-0.005116872489452362,0.4355677366256714,2.605687379837036,0.003926933743059635,0.05877685546875,0.2467258000106085,0.25958680000621825
180224,13.600737800006755,13251.045836639134,839,1.0,20618.66002897,12.9,-0.00489896209910512,0.3649103343486786,2.6096415519714355,0.00314998347312212,0.047882080078125,0.25052230000437703,0.3402675000106683
188416,14.11612970000715,13347.567924365598,868,1.0,19127.125905470002,13.13,-0.005796388722956181,0.3340124785900116,2.5370161533355713,0.003478799480944872,0.0555419921875,0.24611919999006204,0.2688484999962384
196608,15.085327200009488,13033.061689233784,897,1.0,17696.308619130003,12.87,-0.004778697155416012,0.31220749020576477,2.492501735687256,0.0033164829947054386,0.05059814453125,0.582853800005978,0.3859620000002906
204800,15.716414700000314,13030.961826172474,919,1.0,16798.08345687,13.19,-0.0059053017757833,0.28909486532211304,2.445300817489624,0.0038362890481948853,0.06353759765625,0.31034700000600424,0.32036099999095313
212992,16.281737299999804,13081.650690924891,954,1.0,15092.424635440002,13.04,-0.004033314064145088,0.28185391426086426,2.41117525100708,0.0033737728372216225,0.05023193359375,0.267971099994611,0.2968600000021979
221184,16.90409440000076,13084.640606360437,974,1.0,14043.675878240001,12.8,-0.004820266272872686,0.2643304467201233,2.394768714904785,0.00388886290602386,0.05572509765625,0.28187740000430495,0.33996640000259504
229376,17.819787400003406,12871.982973262417,1014,1.0,12524.84190312,12.93,-0.0036710649728775024,0.3916946053504944,2.3261265754699707,0.0036850986070930958,0.053314208984375,0.5866496000089683,0.3286594000092009
237568,18.429117100007716,12890.905121000102,1040,1.0,11716.341989310004,13.24,-0.0039013908244669437,0.27190566062927246,2.339841842651367,0.0029550364706665277,0.037200927734375,0.3046755000104895,0.3042843000002904
245760,18.986458800005494,12943.961935646941,1069,1.0,11050.628577070001,13.32,-0.001816140953451395,0.298845499753952,2.300076484680176,0.00256193894892931,0.029266357421875,0.24231060000602156,0.31458890000067186
253952,19.72089810000034,12877.304000673053,1100,1.0,10216.76562785,13.26,-0.002502104267477989,0.26660487055778503,2.3100335597991943,0.0030366918072104454,0.0360107421875,0.4644302999950014,0.2640518999978667
262144,20.383043299996643,12860.886185726897,1137,1.0,9304.913140190001,13.15,-0.0017654395196586847,0.29306554794311523,2.2445600032806396,0.0021295477636158466,0.021148681640625,0.3835440999973798,0.2781408000009833
270336,21.112599600004614,12804.486663022819,1168,1.0,8958.21606923,13.14,-0.0027032506186515093,0.24608221650123596,2.263324737548828,0.0025916111189872026,0.030487060546875,0.42580589999852236,0.3033112999983132
278528,21.691917300006025,12840.174344566703,1198,1.0,8573.356402729998,13.17,-0.0016993440221995115,0.20489569008350372,2.2426226139068604,0.002469634171575308,0.027313232421875,0.2564979999879142,0.3224149000016041
286720,22.319856300004176,12845.960840704263,1234,1.0,8376.907822770001,12.92,-0.0023968275636434555,0.19485047459602356,2.18497371673584,0.0023827669210731983,0.030181884765625,0.24838479999743868,0.3791449999989709
294912,23.18851980000909,12718.017473451859,1261,1.0,8162.881591109999,13.0,-0.0013499581255018711,0.16786673665046692,2.2100555896759033,0.0025890867691487074,0.0263671875,0.5003875999973388,0.3678984000143828
