轮次,案例编码,源总数,已清除,总虚拟秒,秒每源,客户端实际秒,移动米,测量次数,失败清除次数
1,ET6H-55DX-DS5N-XGXQ,13,13,2895.146793,222.70359946153846,3.215059672999814,10990.733965000001,106,1
2,XQES-MV5K-PJH7-6Q3A,12,12,3137.049273,261.42077275,1.4691874740001367,11565.246365,128,1
3,38JP-2MPS-DVUB-8J27,16,16,3282.001323,205.1250826875,3.3451921229998334,12965.006615,101,3
4,E4BF-SZYA-BKY3-AWX4,16,16,2828.879625,176.8049765625,5.596297079000578,11249.398125000003,82,5
5,UX6G-YJE2-B6QC-46PV,16,16,3319.47205,207.467003125,3.3474073400002453,13247.360250000002,98,2
6,EC9R-5G9M-TPFV-JA7U,15,15,2533.968178,168.93121186666667,3.9235028419998343,9099.84089,105,5
7,M9FW-4JUR-Z8UP-A2RT,13,13,3077.160263,236.70463561538463,1.3477023689993075,11750.801314999999,111,0
8,U96A-SGXB-3GKA-DECK,15,15,2849.428686,189.96191240000002,4.144418082999437,11022.143429999998,96,0
9,WNCX-E8BC-THVM-NSXB,10,10,3063.584639,306.3584639,0.8463144739998825,11197.923195,130,0
10,4C8X-GGF8-2VJA-3P9D,15,15,2855.153341,190.34355606666668,4.466721531000076,10905.766704999998,100,1
