case_id,family,method,status,sources,directional_sources,cleared,false_absent,envelope_checks,envelope_violations,virtual_time_s,seconds_per_cleared,runtime_s,movement_m,measures,clear_attempts,clear_failures,optical_cover_count,scanned_sites,required_sites,shared_measures,actions,deferred_localizations,direction_readings,no_signal_readings,completion_reason,after_last_clear_s,coverage_cells,certified_cells,retired_sites,reused_scans,moved_sites,certificate_calls,negative_pair_cuts,history_pair_cuts,service_attempts,service_accepts,clear_adjustments,local_leg_saving_m,exact_route_calls
2026091161_000_uniform_mixed,uniform_mixed,q4_compact,PASS,10,1,10,0,31,0,5915.162506196994,591.5162506196995,4.61740870000358,19850.812530984967,316,10,0,0,22,22,9,328,0,31,285,continuous_position_heading_coverage,610.1619604839725,2130,2130,0,0,0,163,0,0,0,0,0,0,0
2026091161_000_uniform_mixed,uniform_mixed,q4_service,PASS,10,1,10,0,29,0,5828.163642478969,582.8163642478969,4.705464200000279,19625.81821239485,309,10,0,0,22,22,8,321,0,29,280,continuous_position_heading_coverage,599.4156252195799,2130,2130,0,0,15,118,0,0,21,15,8,220.528596014409,17
2026091161_001_boundary_outward,boundary_outward,q4_compact,PASS,11,5,11,0,65,0,8031.53466197448,730.1395147249527,3.756307300005574,26997.673309872396,435,12,1,0,22,22,5,449,2,39,396,continuous_position_heading_coverage,0.0,2130,2130,0,0,0,147,0,31,0,0,0,0,0
2026091161_001_boundary_outward,boundary_outward,q4_service,PASS,11,5,11,0,58,0,8161.701126744677,741.9728297040615,4.2734569999956875,27498.50563372338,438,15,4,0,22,22,7,455,2,40,398,continuous_position_heading_coverage,0.0,2130,2130,0,0,15,96,0,21,21,15,11,199.4976301414248,25
2026091161_002_two_clusters,two_clusters,q4_compact,PASS,12,11,12,0,45,0,6262.275201337831,521.8562667781526,4.379131300003792,21226.376006689145,326,14,2,0,22,22,16,342,1,42,284,continuous_position_heading_coverage,791.7232307961458,2130,2130,0,0,0,170,0,7,0,0,0,0,0
2026091161_002_two_clusters,two_clusters,q4_service,PASS,12,11,12,0,47,0,6311.683536064568,525.9736280053806,4.642690000000584,20983.41768032285,343,12,0,0,22,22,10,357,0,46,297,continuous_position_heading_coverage,428.40134553806183,2130,2130,0,0,15,108,0,4,21,15,6,179.78555035256065,25
2026091161_003_narrow_sector,narrow_sector,q4_compact,PASS,13,1,13,0,61,0,5552.545263956648,427.11886645820374,5.230608799996844,19407.726319783244,268,13,0,0,22,22,38,283,0,61,207,continuous_position_heading_coverage,1496.8598369253937,2130,2130,0,0,0,182,0,0,0,0,0,0,0
2026091161_003_narrow_sector,narrow_sector,q4_service,PASS,13,1,13,0,58,0,5492.968503332721,422.53603871790165,4.899221799998486,19224.842516663604,264,13,0,0,22,22,35,279,0,58,206,continuous_position_heading_coverage,1487.2158853504866,2130,2130,0,0,15,137,0,0,21,15,13,187.49819934575524,18
2026091161_004_tangent_heading,tangent_heading,q4_compact,PASS,14,7,14,0,47,0,6353.58120013616,453.8272285811543,4.376115699997172,20972.9060006808,347,17,3,0,22,22,3,366,0,47,300,continuous_position_heading_coverage,88.39745258641142,2130,2130,0,0,0,173,0,0,0,0,0,0,0
2026091161_004_tangent_heading,tangent_heading,q4_service,PASS,14,7,14,0,47,0,6306.843938982354,450.48885278445385,5.060900599994056,20739.219694911775,347,17,3,0,22,22,3,366,0,47,300,continuous_position_heading_coverage,87.32752084338063,2130,2130,0,0,15,128,0,0,21,15,13,190.76173168052895,26
2026091161_005_all_directional_stress,all_directional_stress,q4_compact,PASS,15,15,15,0,43,0,6386.22153235491,425.748102156994,5.3814258000056725,23226.10766177455,277,17,2,0,22,22,15,296,0,42,235,continuous_position_heading_coverage,528.149297487169,2130,2130,0,0,0,186,0,5,0,0,0,0,0
2026091161_005_all_directional_stress,all_directional_stress,q4_service,PASS,15,15,15,0,46,0,6430.193594379686,428.67957295864574,5.025477499999397,23175.96797189843,286,17,2,0,22,22,14,305,0,45,241,continuous_position_heading_coverage,81.66375215453718,2130,2130,0,0,16,132,0,5,21,16,9,222.3643582924745,23
2026091161_006_all_omni_regression,all_omni_regression,q4_compact,PASS,16,0,16,0,46,0,4903.8692785540325,306.49182990962703,3.0416512999945553,18364.346392770167,192,17,1,0,13,22,10,211,0,46,146,16_distinct_sources_identified,0.0,2130,900,0,0,0,109,0,0,0,0,0,0,0
2026091161_006_all_omni_regression,all_omni_regression,q4_service,PASS,16,0,16,0,47,0,4865.920583689014,304.1200364805634,3.214014600001974,18159.602918445078,193,16,0,0,13,22,11,211,0,47,146,16_distinct_sources_identified,0.0,2130,904,0,0,9,82,0,0,12,9,14,208.46371101282242,12
2026091161_007_uniform_mixed,uniform_mixed,q4_compact,PASS,11,5,11,0,58,0,6188.1632667064705,562.5602969733155,4.595959500002209,20290.816333532344,345,14,3,0,22,22,19,361,1,57,288,continuous_position_heading_coverage,567.5078404031292,2130,2130,0,0,1,169,0,1,0,0,0,0,0
2026091161_007_uniform_mixed,uniform_mixed,q4_service,PASS,11,5,11,0,54,0,6159.106105233196,559.9187368393815,4.511568800000532,20030.530526165978,348,15,4,0,22,22,16,365,0,53,295,continuous_position_heading_coverage,673.6786788946647,2130,2130,0,0,16,111,0,3,21,16,10,272.33700861092075,19
2026091161_008_boundary_outward,boundary_outward,q4_compact,PASS,12,11,12,0,87,0,9725.409199064628,810.450766588719,4.107570600004692,33567.045995323126,495,26,14,0,22,22,12,523,3,23,472,continuous_position_heading_coverage,0.0,2130,2130,0,0,0,139,2,73,0,0,0,0,0
2026091161_008_boundary_outward,boundary_outward,q4_service,PASS,12,11,12,0,94,0,9226.042579105726,768.8368815921439,3.2775870999976178,30200.212895528653,529,22,10,0,22,22,8,553,0,26,503,continuous_position_heading_coverage,0.0,2130,2130,0,0,15,65,3,76,21,15,9,204.5913937180717,24
2026091161_009_two_clusters,two_clusters,q4_compact,PASS,13,1,13,0,46,0,5546.2076774591,426.63135980454615,4.399657000001753,19386.03838729549,268,13,0,0,22,22,13,283,0,46,222,continuous_position_heading_coverage,169.41481004124034,2130,2130,0,0,0,158,0,0,0,0,0,0,0
2026091161_009_two_clusters,two_clusters,q4_service,PASS,13,1,13,0,48,0,5580.246216343454,429.24970894949644,4.205056400001922,19181.23108171727,280,14,1,0,22,22,13,296,0,48,232,continuous_position_heading_coverage,166.75790917789163,2130,2130,0,0,15,107,0,0,21,15,13,234.74469626013993,18
2026091161_010_narrow_sector,narrow_sector,q4_compact,PASS,14,7,14,0,67,0,5764.337414730158,411.7383867664399,5.371471200000087,19691.687073650784,293,15,1,0,22,22,21,310,0,66,227,continuous_position_heading_coverage,2139.0816857977725,2130,2130,0,0,0,190,0,3,0,0,0,0,0
2026091161_010_narrow_sector,narrow_sector,q4_service,PASS,14,7,14,0,75,0,5924.223434592161,423.1588167565829,6.169808600003307,20056.11717296081,307,15,1,0,22,22,54,324,1,74,233,continuous_position_heading_coverage,2667.9413188699086,2130,2130,0,0,17,145,0,3,21,17,14,265.94004536521953,16
2026091161_011_tangent_heading,tangent_heading,q4_compact,PASS,15,14,15,0,50,0,5986.871084337048,399.1247389558032,4.815242700002273,18784.35542168525,360,15,0,0,22,22,13,377,0,50,310,continuous_position_heading_coverage,0.0,2130,2130,0,0,1,169,0,0,0,0,0,0,0
2026091161_011_tangent_heading,tangent_heading,q4_service,PASS,15,14,15,0,50,0,5959.3170780722085,397.2878052048139,4.907602500003122,18646.58539036104,360,15,0,0,22,22,13,377,0,50,310,continuous_position_heading_coverage,0.0,2130,2130,0,0,15,124,0,0,21,15,10,148.37043588754773,32
2026091161_012_all_directional_stress,all_directional_stress,q4_compact,PASS,16,16,16,0,48,0,6871.6195128802765,429.4762195550173,4.225059199998213,24658.097564401378,310,19,3,0,18,22,26,331,1,45,265,16_distinct_sources_identified,0.0,2130,1565,0,0,0,151,0,5,0,0,0,0,0
