seed,source_count,probes_virtual_time_s,probes_movement_m,probes_real_time_s,probes_audit_time_s,probes_failed_clears,probes_long_moves_over_1km,probes_fallback_s,probes_complete,frozen_advantage_virtual_time_s,frozen_advantage_movement_m,frozen_advantage_real_time_s,frozen_advantage_audit_time_s,frozen_advantage_failed_clears,frozen_advantage_long_moves_over_1km,frozen_advantage_fallback_s,frozen_advantage_complete,frozen_advantage_saved_s,frozen_advantage_overrides,finetuned_advantage_virtual_time_s,finetuned_advantage_movement_m,finetuned_advantage_real_time_s,finetuned_advantage_audit_time_s,finetuned_advantage_failed_clears,finetuned_advantage_long_moves_over_1km,finetuned_advantage_fallback_s,finetuned_advantage_complete,finetuned_advantage_saved_s,finetuned_advantage_overrides
280020000,14,5674.565568,20827.82780316356,60.584767263000685,0.6204334750000271,2,1,0.0,True,5826.18258,21370.91287953627,71.73115287100154,0.6991757550022157,1,1,0.0,True,-151.6170119999997,10,5872.138524,21970.692604899334,101.43885283800046,0.6432640269995318,4,2,0.0,True,-197.57295599999998,12
280020001,11,5443.372962,19501.86478501773,68.50097150199872,0.4117121529998258,1,0,0.0,True,5474.235295,19311.176455599485,66.48468040399894,0.22850770200238912,1,0,0.0,True,-30.862333000000035,5,5586.604107,19893.020512333875,71.31636882700332,0.6623286899994127,2,0,0.0,True,-143.23114499999974,5
280020002,11,5622.562848,20552.814209649394,66.15963226999884,0.2475842800013197,0,0,0.0,True,5779.247259,21061.236285252646,82.18477792799968,0.40399290200002724,0,1,0.0,True,-156.68441100000018,5,5834.235399,21301.17698373675,64.86568857800012,0.17955383300068206,0,1,0.0,True,-211.67255100000057,6
280020003,16,5216.185626,20130.92811447935,51.82379775499794,1.586571420000837,1,0,0.0,True,5190.278299,19956.391462693224,93.6437734329993,0.44577138000022387,2,0,0.0,True,25.907327000000805,5,5229.07386,20170.369280758732,70.7315894170024,0.4522218729980523,1,1,0.0,True,-12.888234000000011,8
280020004,16,4874.192511,19555.962555039005,45.95813012299914,0.8138907100001234,1,1,0.0,True,4107.072271,16450.361360471878,129.35464394599694,1.0546398590013268,0,1,0.0,True,767.1202400000002,7,4107.072271,16450.361360471878,132.38220576599997,0.7340930179998395,0,1,0.0,True,767.1202400000002,7
280020005,11,5560.253073,20236.26534434164,39.86671306000062,0.5417452990004676,1,0,0.0,True,5954.591524,21777.9576080755,63.381812948002334,0.3197772659987095,1,2,0.0,True,-394.33845100000053,9,5534.336799,19956.683975690925,65.13141143599933,0.38943383500009077,1,0,0.0,True,25.916274000000158,4
280020006,12,6063.011521,21925.05757996043,65.27479238100204,0.49330286500116927,0,0,0.0,True,5773.150675,21615.753357971946,89.46556202400097,0.4650532599989674,2,0,0.0,True,289.8608460000005,5,5892.041374,21700.206854885895,101.1109274829978,1.560295163999399,0,0,0.0,True,170.970147,2
280020007,10,5883.338031,20611.690147024692,70.21820878400104,1.5416993590006314,1,2,0.0,True,6126.140198,21735.70099007225,83.45197484200253,0.6531624950002879,1,1,0.0,True,-242.80216699999983,9,6112.750074,21663.750370839887,136.0113630300002,1.1847322859975975,1,1,0.0,True,-229.41204299999936,10
280020008,10,5616.795368,19673.976806057897,48.11780104100035,1.9831964770019113,2,1,0.0,True,5612.835475,19654.17734801108,113.31903869700182,0.45075425100003486,2,1,0.0,True,3.959893000000193,1,5685.223932,19841.11962487071,90.55817918899993,1.245211202000064,5,1,0.0,True,-68.42856399999982,2
280020009,15,5796.45637,22382.28184179744,78.17148967399771,0.5661665510015155,1,1,0.0,True,5796.669898,22383.349471738537,137.05294743700142,0.4591556609993859,1,1,0.0,True,-0.21352800000022398,1,5796.669898,22383.349471738537,128.60117293400253,0.8114196110000194,1,1,0.0,True,-0.21352800000022398,1
