seed,group,scenario,s22_time,s21_time,delta_s,delta_pct,s22_m,s21_m,s22_measures,s21_measures,world_sha256
800,random,uniform,5667.853878,5726.208244,58.35436600000048,1.0295672269623024,19794.26936439259,19921.04122385776,279,285,645a9cca18ab7166189a0400725db0fe3a685ee200d110eb85b989dc2a589a4e
801,random,uniform,5382.434419,5629.846097,247.41167799999948,4.59665011665793,20047.172067922256,20644.23047210931,220,242,41d4aaef62d5feaaae135811bef0d47e697583818746e76aa49bf6fd2c1a8f1c
802,random,uniform,5943.294115,5656.187567,-287.10654799999975,-4.830764596949444,21731.470552222934,20505.937832267384,259,251,5f7e3c52f3f5211b27b99d6411e44225449deaff45a3abc6f2fafe74934e8e24
803,random,uniform,5820.102689,5796.223498,-23.87919099999999,-0.41028813881809345,22580.513424039713,22751.11748718578,207,197,9574951706c556ce781040ddc368ab4995be790ee770ff24152a0471f368aaa9
804,random,uniform,5774.564459,5955.272395,180.7079359999998,3.1293777614406215,21127.822279775257,21606.361968397814,250,266,fc12f1d1a9cfa94ccea93b3b39bc118bc28fc55ff73669e02204061847a312b4
805,random,uniform,5356.042045,5423.672951,67.63090599999941,1.262703045117708,19495.2102084536,19343.36474979918,236,252,9fc0107f43882f833d81d26c9d7d9094ae4a411f957ad4f1eaa4da20763e3cd8
806,random,uniform,5915.147232,5576.747623,-338.39960900000005,-5.720899171694526,22195.73613291984,21468.738131482827,238,204,19dfbc29bf0dfb6aac6824b1f039f7aa564c47949fda8347545f86d7a41ad277
807,random,uniform,6152.722112,6070.489569,-82.23254300000008,-1.336522948754948,22588.610535076044,21947.44785949236,264,272,bdb682f3a828e99ea3ef7d9b8750e360947c9adb40dc20e886ec1366ea80693c
808,random,uniform,5793.916206,5630.779201,-163.1370049999996,-2.815660413436083,22579.5810317305,22413.89598666734,203,181,fa8de7dfb3f95aba5a64bb0fd0e821ebd8dae150bdebdbd7b810938ad5386317
809,random,uniform,5730.787445,5608.733828,-122.05361699999958,-2.1297878899083744,20478.937197721923,20173.669144433134,265,254,ba681558cc2b7633157c7bb68e103ca6217a1f57b10c016aa342f4ede3c98c22
810,random,uniform,5974.51228,5710.815243,-263.6970369999999,-4.413699807476168,20557.561368700026,19349.076218218604,305,301,a854f05dc790f615b55243b455cfdf111e1a1c970bf6d417b2415f752018fb48
811,random,uniform,5899.445113,5701.686327,-197.75878599999942,-3.352159096526197,21002.22555724059,20498.43162396534,278,261,3e78683c4500375c4e690b6876cd867579673150da13b191719144ccd061aa8a
812,random,uniform,5596.603034,5894.546997,297.9439630000006,5.323657246904179,21288.015163717195,22437.734985403087,213,224,692b078aed55782109334e2ad4b5c31c65636be96807b3daec33a8fbd66a4b6a
