detector,x_m,y_m,bearing_deg
1,-850.2631123499285,450.13155617496426,334.434948822922
2,-933.8398948561248,7.4400075102768,5.085616779974877
3,-673.0407640085654,-532.0407640085654,46.0
4,367.32139211339756,-657.8689868556626,121.96375653207352
5,584.7384880265759,616.9907904212606,219.65980825409008
6,296.13155617496426,842.2631123499285,244.43494882292202
7,765.556692040651,382.15146232643514,200.0
8,-387.9847956597685,920.056692040651,290.0
9,-859.5895300726613,-375.6666666666668,30.0
10,699.256196739328,-375.6666666666671,150.0
