index,kind,x_m,y_m,channel,result,bearing_deg,virtual_time_s,planning_s
1,measure,0.0,0.0,1,direction,195.05,5.0,0.012984000000869855
2,measure,0.0,0.0,2,no_signal,,11.0,0.010585600000922568
3,measure,0.0,0.0,3,no_signal,,17.0,0.01582570000027772
4,measure,0.0,0.0,4,no_signal,,23.0,0.005198800005018711
5,measure,0.0,0.0,5,no_signal,,29.0,0.005553800001507625
6,measure,0.0,0.0,6,no_signal,,35.0,0.005468200004543178
7,measure,0.0,0.0,7,no_signal,,41.0,0.005456899991258979
8,measure,0.0,0.0,8,no_signal,,47.0,0.005555399999138899
9,measure,0.0,0.0,9,no_signal,,53.0,0.005734699996537529
10,measure,0.0,0.0,10,no_signal,,59.0,0.005972499988274649
11,measure,0.0,0.0,11,direction,10.3,65.0,0.0060394000029191375
12,measure,0.0,0.0,12,no_signal,,71.0,0.0114564999967115
13,measure,0.0,0.0,13,direction,246.84,77.0,0.006018800006131642
14,measure,0.0,0.0,14,direction,221.48,83.0,0.011714499996742234
15,measure,0.0,0.0,15,no_signal,,89.0,0.01140319999831263
16,measure,0.0,0.0,16,no_signal,,95.0,0.005486199996084906
17,measure,0.0,0.0,17,direction,359.79,101.0,0.005655600005411543
18,measure,0.0,0.0,18,no_signal,,107.0,0.012560500006657094
19,measure,0.0,0.0,19,direction,353.33,113.0,0.0054939999972702935
20,measure,0.0,0.0,20,direction,152.2,119.0,0.01123580000421498
21,measure,-286.27833752,190.50290994,20,direction,153.4,192.77402,0.11331159999826923
22,measure,-286.27833752,190.50290994,1,direction,226.59,198.77402,0.0990587999986019
23,measure,-286.27833752,190.50290994,11,direction,0.13,204.77402,0.1211102000088431
24,measure,-286.27833752,190.50290994,17,no_signal,,210.77402,0.102270999996108
25,measure,-286.27833752,190.50290994,19,no_signal,,216.77402,0.10922159999608994
26,measure,-286.27833752,190.50290994,14,direction,239.2,222.77402,0.10176159998809453
27,clear,-626.8751034195964,-169.06841218514163,1,success,,326.829094,0.09312910000153352
28,measure,-905.1891325847662,-435.23889012577104,2,no_signal,,409.84998,0.0766241999954218
29,measure,-905.1891325847662,-435.23889012577104,3,no_signal,,415.84998,0.00011890000314451754
30,measure,-905.1891325847662,-435.23889012577104,4,direction,275.71,421.84998,9.780000254977494e-05
31,measure,-905.1891325847662,-435.23889012577104,5,no_signal,,427.84998,0.00014699999883305281
32,measure,-905.1891325847662,-435.23889012577104,6,no_signal,,433.84998,0.0001024999946821481
33,measure,-905.1891325847662,-435.23889012577104,7,no_signal,,439.84998,9.889999637380242e-05
34,measure,-905.1891325847662,-435.23889012577104,8,no_signal,,445.84998,9.699999645818025e-05
35,measure,-905.1891325847662,-435.23889012577104,9,no_signal,,451.84998,9.31999966269359e-05
36,measure,-905.1891325847662,-435.23889012577104,10,direction,297.92,457.84998,9.669999417383224e-05
37,measure,-905.1891325847662,-435.23889012577104,12,direction,262.26,463.84998,0.00014319999900180846
38,measure,-905.1891325847662,-435.23889012577104,15,no_signal,,469.84998,0.00014970000484026968
39,measure,-905.1891325847662,-435.23889012577104,16,no_signal,,475.84998,0.00011779999476857483
40,measure,-905.1891325847662,-435.23889012577104,18,no_signal,,481.84998,0.00015639999764971435
41,measure,-905.1891325847662,-435.23889012577104,20,direction,103.06,487.84998,0.1552637999993749
42,measure,-905.1891325847662,-435.23889012577104,14,direction,288.83,493.84998,0.11912479999591596
43,clear,-812.8479907321084,-706.8867222223278,14,success,,556.232706,0.10827599999902304
44,measure,-812.8479907321084,-706.8867222223278,12,direction,250.06,562.232706,0.07568870000250172
45,measure,-937.69141513,-1156.09207071,12,direction,244.81,660.478902,0.08728149998933077
46,clear,-1047.3182179100882,-1385.209350827324,12,success,,716.277628,0.08583660000294913
47,measure,-1047.3182179100882,-1385.209350827324,4,direction,336.63,722.277628,0.04424450000806246
48,measure,-1047.3182179100882,-1385.209350827324,10,direction,50.69,728.277628,0.05241720000049099
49,measure,-1047.3182179100882,-1385.209350827324,13,direction,32.94,734.277628,0.04897770000388846
50,clear,-798.9409045431205,-1492.5775242846985,4,success,,793.395726,0.04515689999971073
51,clear,-656.150470395167,-908.2380226001758,10,success,,918.702295,0.0422891000052914
52,measure,-656.150470395167,-908.2380226001758,13,direction,347.61,923.702295,0.03861529999994673
53,clear,-411.3439286926798,-961.7627721040732,13,success,,978.820213,0.037512599999899976
54,measure,-221.5525183701642,-976.2191867604997,2,no_signal,,1022.88845,0.037353599997004494
55,measure,-221.5525183701642,-976.2191867604997,3,no_signal,,1028.88845,8.719999459572136e-05
56,measure,-221.5525183701642,-976.2191867604997,5,no_signal,,1034.88845,7.390000973828137e-05
57,measure,-221.5525183701642,-976.2191867604997,6,no_signal,,1040.88845,0.00011199999426025897
58,measure,-221.5525183701642,-976.2191867604997,7,direction,7.0,1046.88845,7.570000889245421e-05
59,measure,-221.5525183701642,-976.2191867604997,8,no_signal,,1052.88845,0.00013590000162366778
60,measure,-221.5525183701642,-976.2191867604997,9,no_signal,,1058.88845,0.00010740000288933516
61,measure,-221.5525183701642,-976.2191867604997,15,no_signal,,1064.88845,7.730000652372837e-05
62,measure,-221.5525183701642,-976.2191867604997,16,no_signal,,1070.88845,7.570000889245421e-05
63,measure,-221.5525183701642,-976.2191867604997,18,no_signal,,1076.88845,7.239999831654131e-05
64,measure,686.4717299293935,-866.00206527432,18,no_signal,,1264.826237,0.05820060000405647
65,measure,686.4717299293935,-866.00206527432,2,no_signal,,1270.826237,0.00010140000085812062
66,measure,686.4717299293935,-866.00206527432,3,no_signal,,1276.826237,8.299999171867967e-05
67,measure,686.4717299293935,-866.00206527432,5,no_signal,,1282.826237,9.529999806545675e-05
68,measure,686.4717299293935,-866.00206527432,6,no_signal,,1288.826237,8.719999459572136e-05
69,measure,686.4717299293935,-866.00206527432,8,no_signal,,1294.826237,7.470000127796084e-05
70,measure,686.4717299293935,-866.00206527432,9,no_signal,,1300.826237,0.00011969999468419701
71,measure,686.4717299293935,-866.00206527432,15,no_signal,,1306.826237,0.00010619999375194311
72,measure,686.4717299293935,-866.00206527432,16,no_signal,,1312.826237,9.520001185592264e-05
73,measure,686.4717299293935,-866.00206527432,7,direction,18.67,1318.826237,0.04421220000949688
74,clear,747.3877008650769,-845.5358600889423,7,success,,1336.678663,0.039779800004907884
75,measure,747.3877008650769,-845.5358600889423,19,direction,47.48,1342.678663,0.030923399986932054
76,measure,747.3877008650769,-845.5358600889423,17,direction,71.11,1348.678663,0.034282900000107475
77,clear,1373.8720831954904,-161.34228689027478,19,success,,1539.216101,0.03530909999972209
78,measure,1373.8720831954904,-161.34228689027478,2,no_signal,,1545.216101,0.00011800001084338874
79,measure,1373.8720831954904,-161.34228689027478,3,no_signal,,1551.216101,6.53000024612993e-05
80,measure,1373.8720831954904,-161.34228689027478,5,no_signal,,1557.216101,6.140000186860561e-05
81,measure,1373.8720831954904,-161.34228689027478,6,no_signal,,1563.216101,6.310000026132911e-05
82,measure,1373.8720831954904,-161.34228689027478,8,no_signal,,1569.216101,5.830000736750662e-05
83,measure,1373.8720831954904,-161.34228689027478,9,no_signal,,1575.216101,0.0001007999962894246
84,measure,1373.8720831954904,-161.34228689027478,15,no_signal,,1581.216101,6.27999979769811e-05
85,measure,1373.8720831954904,-161.34228689027478,16,no_signal,,1587.216101,5.6899996707215905e-05
86,measure,1373.8720831954904,-161.34228689027478,18,no_signal,,1593.216101,9.650000720284879e-05
87,clear,1035.656436329636,-3.606762534519424,17,no_target_in_range,,1670.853979,0.0370969000068726
88,measure,1035.656436329636,-3.606762534519424,17,direction,224.99,1676.853979,0.030890800000634044
89,clear,1031.4806521785265,-7.762348085816376,17,success,,1683.032216,0.035357200002181344
90,measure,1031.4806521785265,-7.762348085816376,11,direction,102.98,1689.032216,0.02635680000821594
91,clear,988.4789903559988,177.7595940191207,11,success,,1732.12029,0.028832500000135042
92,measure,611.6767674374697,780.8528197295789,2,no_signal,,1880.345654,0.019921099999919534
93,measure,611.6767674374697,780.8528197295789,3,direction,19.18,1886.345654,8.009999874047935e-05
94,measure,611.6767674374697,780.8528197295789,5,no_signal,,1892.345654,0.00016780001169536263
95,measure,611.6767674374697,780.8528197295789,6,no_signal,,1898.345654,0.00011029999586753547
96,measure,611.6767674374697,780.8528197295789,8,no_signal,,1904.345654,9.329999738838524e-05
97,measure,611.6767674374697,780.8528197295789,9,no_signal,,1910.345654,9.039998985826969e-05
98,measure,611.6767674374697,780.8528197295789,15,direction,83.58,1916.345654,8.860000525601208e-05
99,measure,611.6767674374697,780.8528197295789,16,no_signal,,1922.345654,0.00017880000814329833
100,measure,611.6767674374697,780.8528197295789,18,no_signal,,1928.345654,0.00012139999307692051
101,measure,859.32561761,829.99963793,3,direction,58.76,1984.841342,0.06950189999770373
102,clear,882.534196359633,868.0095386294823,3,success,,1998.748397,0.03063269999984186
103,measure,882.534196359633,868.0095386294823,15,direction,114.69,2004.748397,0.013044199993601069
104,clear,672.5315586281539,1325.8489167863759,15,success,,2110.489253,0.01706709999416489
105,measure,-223.76039386996837,977.5510764559276,2,no_signal,,2308.806766,0.007529700000304729
106,measure,-223.76039386996837,977.5510764559276,5,no_signal,,2314.806766,4.5599997974932194e-05
107,measure,-223.76039386996837,977.5510764559276,6,no_signal,,2320.806766,3.739999374374747e-05
108,measure,-223.76039386996837,977.5510764559276,8,no_signal,,2326.806766,3.530000685714185e-05
109,measure,-223.76039386996837,977.5510764559276,9,direction,184.79,2332.806766,4.020000051241368e-05
110,measure,-223.76039386996837,977.5510764559276,16,no_signal,,2338.806766,8.459998934995383e-05
111,measure,-223.76039386996837,977.5510764559276,18,direction,117.76,2344.806766,4.499999340623617e-05
112,measure,-417.87944266,1421.34619723,18,direction,146.94,2446.685311,0.05920159998640884
113,clear,-478.6829232232244,1460.1822231713936,18,success,,2466.114864,0.03183549999084789
114,measure,-478.6829232232244,1460.1822231713936,9,direction,225.35,2472.114864,0.01155049999943003
115,clear,-1022.3744411057644,910.3867470739689,9,success,,2631.759687,0.016259800002444535
116,clear,-1149.3066507993497,617.8850494576369,20,success,,2700.530849,0.0059701999998651445
117,measure,-1149.3066507993497,617.8850494576369,2,no_signal,,2706.530849,4.92000108351931e-05
118,measure,-1149.3066507993497,617.8850494576369,5,no_signal,,2712.530849,1.5600002370774746e-05
119,measure,-1149.3066507993497,617.8850494576369,6,no_signal,,2718.530849,1.3800003216601908e-05
120,measure,-1149.3066507993497,617.8850494576369,8,no_signal,,2724.530849,1.2299991794861853e-05
121,measure,-1149.3066507993497,617.8850494576369,16,no_signal,,2730.530849,1.5900004655122757e-05
